# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85010638354,429.981600,464.898200,830.524200,2.306928,3.036351,1.563334,0.096232,23,30
85010638357,422.073500,473.586900,840.510400,1.554249,2.863566,1.000041,0.075382,13,30
85010639957,376.046600,466.915500,871.828700,2.979667,31.717011,1.000150,0.063601,5,30
85010639958,410.792400,494.087000,907.453500,6.439250,7.878833,4.984819,0.097376,23,30
85010639959,379.055800,494.853900,886.256800,1.231830,1.867386,1.000120,0.156707,28,30
85010639960,348.451800,499.361400,864.297500,2.564685,3.315327,1.816190,0.097599,24,30
85010639961,375.421800,471.949300,864.485800,7.830870,10.449227,5.254023,0.080814,13,30
85010640340,371.694900,455.167400,822.687700,1.334366,3.099444,1.000121,0.086566,13,30
85010640342,362.104100,436.605000,821.540800,3.501275,5.092411,1.932435,0.092373,16,30
85010640343,355.658800,446.927600,820.941000,3.687163,4.531649,2.839637,0.095412,24,30
85010640344,360.758800,439.630900,824.117200,1.000096,18.090962,1.000096,0.048125,2,30
85010640345,344.540500,455.532400,824.225400,4.350779,6.917037,1.824212,0.084825,16,30
85010640346,369.679000,451.961200,835.460300,1.402227,2.575359,1.000061,0.060640,6,30
85010640347,366.398700,434.502500,834.429400,1.102408,1.878822,1.000009,0.095253,20,30
85010640348,365.141400,454.901600,836.986500,5.918608,380.354740,3.508463,0.083882,4,30
85010640349,352.850600,482.605600,837.937200,1.000009,1.908723,1.000009,0.080478,16,30
85010640350,357.827700,484.082300,839.042400,1.000239,129.797022,1.000239,0.053224,3,30
85010640352,350.733500,492.532800,823.951700,1.053880,1.760430,1.000003,0.082915,14,30
85010640353,344.450300,475.539500,842.078000,1.846076,2.461788,1.234649,0.097073,24,30
85010640354,375.145400,465.607800,847.429300,1.653884,2.354343,1.000018,0.110492,24,30
85010640355,362.582500,435.011800,848.841100,4.161317,5.562571,2.792694,0.088408,16,30
85010640358,372.921800,490.867900,834.224000,1.630870,2.279357,1.000004,0.252868,28,30
85010640360,374.821200,494.071300,850.089200,1.408209,3.605650,1.000130,0.078067,11,30
85010640361,368.806400,422.739200,843.265100,2.137702,2.933934,1.330220,0.087466,21,30
85010640364,332.808900,466.109100,822.690800,1.000005,1.618349,1.000005,0.085918,16,30
85010640365,332.841600,439.425500,841.414700,1.500482,2.459415,1.000005,0.074631,11,30
85010640383,363.092700,454.795800,862.930500,2.713003,4.612654,1.000056,0.089311,16,30
85010640384,374.722800,438.025100,860.436200,7.962440,54.135763,1.776804,0.068235,7,30
85010640385,353.881200,461.460100,860.640100,1.000015,2.206679,1.000015,0.085524,17,30
85010640390,359.206700,459.320400,859.279800,4.877844,5.917909,3.832982,0.104648,21,30
85010640391,365.110100,435.837800,857.427300,1.000080,8.318026,1.000080,0.069463,8,30
85010640392,356.476200,432.173000,857.377600,3.804024,5.523537,2.129663,0.094127,21,30
85010640409,372.199100,471.267600,853.713900,5.756823,7.054390,4.431914,0.101676,23,30
85010640410,350.647600,492.124600,854.098400,7.046638,8.191975,5.880427,0.122303,27,30
85010640505,374.881200,470.209400,871.476900,1.000023,82.802584,1.000023,0.061052,4,30
85010640506,353.537000,462.471400,870.505600,2.288971,3.001589,1.583851,0.086948,20,30
85010640507,369.127800,447.154700,870.898800,2.554677,3.633167,1.450939,0.095865,22,30
85010640508,343.996000,455.073300,868.683900,1.819348,2.950560,1.000001,0.083674,15,30
85010640509,349.990700,435.746000,870.425500,3.211790,4.560530,1.841556,0.084641,15,30
85010640510,374.729600,450.440700,872.520800,1.000026,1.672451,1.000026,0.090977,16,30
85010640511,344.056500,445.876400,875.209700,2.322274,3.128586,1.520737,0.090467,19,30
85010640512,343.340300,488.134600,880.278100,1.000001,1.659990,1.000001,0.086571,20,30
85010640513,350.721900,474.238100,877.001800,8.609027,10.636269,6.540890,0.054930,3,30
85010640514,366.821100,482.627000,875.079900,2.500326,3.175347,1.842726,0.091454,20,30
85010640515,353.119200,444.869100,875.763100,3.221459,4.163933,2.301651,0.094449,28,30
85010640516,360.958000,452.781900,877.156000,5.528490,6.807108,4.263178,0.091265,28,30
85010640517,364.501700,434.506000,879.679100,2.475266,3.253449,1.673920,0.085321,19,30
85010640518,360.664600,441.348100,878.229300,3.615821,4.351588,2.884265,0.105523,25,30
85010640519,366.285500,439.705700,881.513200,3.442622,12.575833,1.000070,0.075122,4,30
85010640520,337.661300,480.539600,890.531000,1.197067,2.874677,1.000209,0.075883,11,30
85010640521,367.974700,450.275100,883.477000,2.874934,4.226146,1.550908,0.077120,12,30
85010640522,362.594500,459.012800,885.153800,5.274358,6.216950,4.347530,0.100982,26,30
85010640523,344.521500,461.358700,889.116900,5.476984,8.078538,2.805259,0.093245,21,30
85010640524,350.166000,432.120800,891.177700,4.512923,6.556988,2.448759,0.096392,22,30
85010640525,372.981400,482.020900,893.559100,3.344978,4.641326,2.013737,0.090504,18,30
85010640526,364.522600,484.814000,895.996300,4.068161,4.789113,3.339655,0.098503,24,30
85010640527,367.372500,431.816100,899.360200,4.308492,5.220199,3.420794,0.100186,24,30
85010640528,373.350800,434.014800,902.878600,11.221128,16.666066,5.836459,0.095317,22,30
85010640529,340.181700,482.969600,909.221100,1.159164,2.160680,1.000033,0.090388,18,30
85010640530,350.852800,489.511900,871.144000,8.569202,10.896573,6.177632,0.090206,20,30
85010640531,353.969200,424.747200,886.972200,10.529428,14.197339,6.776856,0.099986,27,30
85010640532,340.590600,424.255600,869.854400,1.000002,2.985914,1.000002,0.075514,11,30
85010640533,374.600400,453.460600,913.015400,3.064097,4.112416,2.017411,0.093831,22,30
85010640534,336.484400,433.508800,869.390700,1.125454,2.469420,1.000004,0.071110,9,30
85010640535,374.714700,438.879500,913.755000,12.763745,21.223166,4.291097,0.089271,18,30
85010640536,352.320200,482.116300,866.117600,1.000024,1.814061,1.000024,0.099242,26,30
85010640537,334.133500,451.113100,875.548400,4.416582,5.362229,3.491620,0.101586,26,30
85010640543,367.415400,465.859500,918.579400,1.301638,2.006397,1.000041,0.094539,18,30
85010640546,354.528000,496.647900,915.786300,1.483699,2.493028,1.000047,0.080306,15,30
85010657926,386.686200,474.011800,874.585900,1.523925,2.134023,1.000026,0.329768,28,30
85010657927,380.455500,466.416000,873.738700,1.000014,1.680937,1.000014,0.101665,12,30
85010657928,387.246200,477.421600,875.336400,12.104314,15.589146,8.535075,0.423558,28,30
85010657929,412.533200,442.840100,871.444400,8.287089,11.087860,5.530262,0.098179,24,30
85010657930,392.126900,465.281300,873.844500,3.142622,3.818904,2.480313,0.117945,27,30
85010657931,389.871100,445.177900,878.138200,1.434054,2.081397,1.000075,0.284269,28,30
85010657932,386.832300,456.154800,878.051400,1.562478,2.231371,1.000089,0.092187,20,30
85010657933,393.512000,444.089600,876.902700,1.050425,7.139484,1.000099,0.061205,4,30
85010657934,391.149000,466.344300,877.645900,5.038580,24.715800,1.000289,0.092393,4,30
85010657935,389.010500,472.832200,876.247100,1.059438,4.836090,1.000003,0.062800,9,30
85010657936,399.872600,453.803800,881.285000,1.688915,2.334607,1.038142,0.322739,28,30
85010657937,388.154300,460.909700,880.274800,3.739131,4.665855,2.809631,0.100212,26,30
85010657938,389.455000,468.231700,875.237200,2.521759,3.266865,1.770605,0.095537,24,30
85010657939,379.578300,454.094500,890.646500,1.097114,2.213190,1.000056,0.082486,14,30
85010657940,397.134300,471.115100,890.683500,1.191914,2.598304,1.000127,0.070517,9,30
85010657941,381.881700,454.616000,892.093900,2.440887,3.235806,1.652528,0.342364,28,30
85010657942,387.941500,477.434500,896.241900,1.000008,1.740842,1.000008,0.179345,28,30
85010657943,378.366600,432.515200,900.577100,3.646364,4.388273,2.918005,0.329052,28,30
85010657944,393.523400,465.917400,897.831600,2.475227,12.996874,1.000003,0.054778,3,30
85010657945,400.767100,460.710400,904.317500,1.000063,2.004202,1.000063,0.085720,17,30
85010657946,394.441500,442.499100,905.031900,1.000067,2.189926,1.000067,0.069550,8,30
85010657947,391.646100,476.846100,870.458300,2.804273,8.816120,1.000123,0.053987,2,30
85010657948,384.669600,484.172700,894.582300,10.203659,13.611538,6.737563,0.097407,24,30
