#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85000948176,506.749500,485.838000,488.816100,8.572598,8.863047,8.278328,5.644317,6.054823,5.243436,0.322739,0.245884,433,395,453
85000950029,460.127300,496.671900,530.103500,4.440165,4.913194,3.973694,2.893209,3.436568,2.342663,0.308105,0.227351,371,311,452
85000950030,488.661200,541.350600,526.774900,9.356344,9.769136,8.955077,6.382220,6.739596,6.024411,0.321998,0.246349,433,395,452
85000950031,500.976700,506.875700,493.634900,5.357905,5.772619,4.944198,3.698536,4.205882,3.205882,0.319640,0.236436,421,351,452
85000950247,472.203100,477.957900,456.800200,7.735890,8.196135,7.267936,5.743358,6.181118,5.293348,0.261901,0.195843,230,197,452
85000952118,483.273900,468.850400,528.575300,8.055923,8.374587,7.731437,5.618634,6.016576,5.217489,0.322618,0.245473,437,387,451
85000952122,519.400100,454.982000,518.994600,11.035564,11.489559,10.579152,7.715767,8.056183,7.372513,0.323794,0.244257,437,395,451
85000952375,494.699000,458.306700,522.251800,11.274850,11.792861,10.754730,8.211241,8.620102,7.803659,0.292099,0.215345,316,269,451
85000954168,454.760700,478.732400,532.624100,10.769267,11.202466,10.331489,7.227979,7.544828,6.905166,0.323030,0.248439,439,409,450
85000954179,501.175900,518.366300,450.050200,9.692836,10.107290,9.287350,7.422762,7.769062,7.077845,0.318244,0.232985,414,335,450
85000956434,466.327700,454.515700,488.880900,9.273913,9.695088,8.847600,6.335751,6.713656,5.957868,0.303879,0.228435,361,319,449
85000958231,477.931500,513.188900,490.264700,5.636073,6.040664,5.236978,3.822404,4.323173,3.335899,0.323691,0.246475,433,396,448
85000960311,481.948100,457.713600,535.081100,8.877763,9.250488,8.508445,6.224461,6.598573,5.847609,0.321072,0.246465,435,393,447
85000960352,536.578600,518.581700,495.259800,7.424007,7.718759,7.133384,5.109650,5.537058,4.682184,0.320461,0.242532,423,371,447
85000960537,460.535300,476.993500,504.347300,9.283541,9.678797,8.878515,6.196822,6.601523,5.788781,0.314518,0.238311,401,360,447
85000962442,459.506300,514.783800,486.407100,4.398882,4.865602,3.939504,2.920271,3.464625,2.378059,0.313162,0.232406,397,334,446
85000962689,487.716700,477.950400,461.824200,4.025613,4.511042,3.541563,2.976411,3.528977,2.434376,0.315784,0.223883,405,298,446
85000964878,542.441200,518.725900,527.454800,9.254810,9.633603,8.885120,6.368588,6.727929,6.010184,0.320439,0.243571,427,386,445
85000966635,459.314800,523.496900,487.074900,9.696699,10.086181,9.311678,6.664488,7.042112,6.285465,0.321142,0.242630,429,378,444
85000966636,462.950500,542.871900,517.713400,8.307437,8.637208,7.985829,5.751067,6.165444,5.334203,0.325314,0.244146,436,384,444
85000966858,514.865700,469.058900,499.597800,12.391749,12.930295,11.867163,9.199715,9.616937,8.778483,0.316583,0.239129,413,361,444
85000966860,511.388100,486.916200,461.547100,9.784738,10.185795,9.384292,6.848795,7.187261,6.511325,0.319418,0.241770,423,373,444
85000966861,537.993200,481.567800,485.460600,6.160835,6.531409,5.798912,3.975271,4.467062,3.489816,0.291554,0.216287,315,271,444
85000968759,537.578700,524.102300,472.017800,6.651283,6.991436,6.320674,4.493434,4.958495,4.029438,0.317071,0.238880,414,361,443
85000968944,541.854100,453.232400,493.175600,7.119538,7.469298,6.767973,4.939697,5.381293,4.501539,0.312265,0.235551,400,343,443
