#file,c
Halo_NR_28818.csv,4.794475
Halo_NR_26447.csv,4.354693
Halo_NR_14742.csv,6.271015
Halo_NR_05160.csv,7.932424
Halo_NR_08486.csv,3.396215
Halo_NR_28139.csv,6.361120
Halo_NR_30099.csv,5.511440
Halo_NR_24054.csv,7.708023
Halo_NR_01160.csv,3.938129
Halo_NR_08539.csv,6.950120
Halo_NR_26203.csv,4.385839
Halo_NR_03998.csv,5.967021
Halo_NR_20608.csv,4.513651
Halo_NR_24029.csv,6.295674
Halo_NR_14365.csv,6.664821
Halo_NR_30485.csv,5.738419
Halo_NR_15365.csv,6.642378
Halo_NR_17677.csv,7.128329
Halo_NR_16774.csv,6.521722
Halo_NR_26274.csv,4.290412
Halo_NR_08619.csv,3.817012
Halo_NR_25719.csv,8.095841
Halo_NR_22453.csv,6.637412
Halo_NR_20852.csv,3.600799
Halo_NR_03222.csv,2.691935
Halo_NR_27337.csv,4.798208
Halo_NR_25951.csv,6.147861
Halo_NR_21000.csv,2.930804
Halo_NR_21338.csv,9.673311
Halo_NR_00582.csv,4.124675
Halo_NR_27953.csv,7.745263
Halo_NR_20389.csv,5.184002
Halo_NR_03525.csv,3.437148
Halo_NR_30669.csv,6.286060
Halo_NR_06094.csv,4.778908
Halo_NR_12552.csv,7.738505
Halo_NR_07443.csv,5.498949
Halo_NR_05747.csv,4.212696
Halo_NR_28961.csv,3.760250
Halo_NR_27060.csv,4.986225
Halo_NR_05399.csv,2.595367
Halo_NR_02492.csv,9.705710
Halo_NR_25806.csv,3.806562
Halo_NR_25465.csv,6.194532
Halo_NR_01894.csv,5.273131
Halo_NR_07467.csv,4.286789
Halo_NR_12670.csv,3.966217
Halo_NR_02194.csv,4.969095
Halo_NR_29356.csv,3.710908
Halo_NR_12656.csv,11.614518
Halo_NR_14120.csv,6.080340
Halo_NR_18587.csv,4.042129
Halo_NR_14306.csv,4.864634
Halo_NR_00476.csv,2.976625
Halo_NR_15506.csv,3.287999
Halo_NR_25754.csv,6.972705
Halo_NR_26058.csv,8.085071
Halo_NR_22184.csv,5.785745
Halo_NR_18155.csv,6.154594
Halo_NR_27817.csv,2.356337
Halo_NR_12260.csv,7.582905
Halo_NR_22669.csv,4.983812
Halo_NR_17199.csv,5.184199
Halo_NR_10655.csv,3.527545
Halo_NR_05878.csv,2.531094
Halo_NR_17180.csv,2.328737
Halo_NR_20851.csv,4.744691
Halo_NR_22130.csv,3.352248
Halo_NR_07787.csv,5.163816
Halo_NR_23670.csv,4.926256
Halo_NR_24150.csv,4.025218
Halo_NR_00479.csv,4.473812
Halo_NR_19724.csv,6.377725
Halo_NR_09358.csv,5.611997
Halo_NR_15614.csv,7.284596
Halo_NR_15241.csv,7.633692
Halo_NR_11221.csv,4.914858
Halo_NR_15156.csv,7.934348
Halo_NR_19457.csv,4.543081
