# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
198,0.003969,-0.010856,-0.000237,10.025625,10.299706,9.757324,0.999238,1029,1030
199,-0.004454,0.004976,-0.004449,10.126101,10.392456,9.863437,1.000194,1026,1027
200,0.000000,0.000000,0.000000,10.000509,10.245813,9.751201,0.998256,1032,1033
201,-0.005056,-0.001738,0.001868,10.043014,10.310774,9.771727,1.000020,997,998
202,0.000000,0.000000,0.000000,10.043007,10.313190,9.768025,0.998181,991,992
203,-0.000072,-0.005482,0.000073,10.134453,10.380998,9.893583,1.003184,1061,1062
204,0.000000,0.000000,0.000000,9.950784,10.194319,9.712357,0.998310,1063,1064
205,-0.002277,-0.004490,-0.002624,10.163402,10.436600,9.898073,1.002993,993,994
206,0.000000,-0.000000,-0.000000,9.943505,10.213103,9.670364,0.998218,1008,1009
207,-0.017412,-0.019304,0.023517,9.593720,9.820488,9.372993,1.025504,1017,1018
208,-0.005465,0.005663,0.001749,10.309137,10.555634,10.059881,1.003153,1014,1015
209,-0.000664,0.002184,-0.005386,10.038253,10.348581,9.727941,1.001424,946,947
210,-0.003862,0.000687,-0.003948,10.097978,10.365159,9.826981,1.001518,1037,1038
211,-0.000000,-0.000000,-0.000000,10.016313,10.283411,9.754356,0.998198,999,1000
212,0.005394,0.000931,0.001186,9.992922,10.245109,9.733713,0.996638,1022,1023
213,-0.005630,0.005646,0.000504,10.067265,10.321985,9.816500,0.999545,1032,1033
214,-0.001620,-0.005129,-0.002064,9.997473,10.276729,9.714355,1.002439,972,973
215,0.000000,-0.000000,0.000000,10.029184,10.339807,9.723029,0.998171,985,986
216,-0.000000,0.000000,0.000000,9.927242,10.176491,9.677387,0.998249,1025,1026
217,0.005113,0.000032,0.001588,10.138606,10.389528,9.889420,0.999845,1117,1118
218,-0.000000,0.000000,0.000000,10.022738,10.287486,9.755878,0.998222,1013,1014
219,0.000000,-0.000000,-0.000000,9.949952,10.186346,9.715578,0.998312,1064,1065
220,0.001775,-0.005094,0.001607,10.021044,10.267048,9.768982,0.996364,1011,1012
221,-0.005392,0.008496,0.008428,10.205017,10.467320,9.949008,1.003938,1019,1020
