#haloID,c_low,c_mid,c_high,n_particles
42068,9.03091869023,9.13489244631,9.22968346832,269
42069,4.03900694533,4.08488903609,4.14202297064,271
42070,12.4203067888,12.4450654498,12.4620552193,1913
42071,8.85248292854,8.87135371578,8.890724786,1163
42072,5.80506441955,5.90016422068,5.98481819534,208
42073,7.84273449022,7.85888351323,7.87035992466,1485
42075,6.10115454451,6.14007867669,6.17235872175,456
42076,7.84689286079,7.84867121874,7.85000484918,16925
42077,4.7189179332,4.80224244346,4.87034894484,209
42078,3.27965962058,3.33329012983,3.36617072501,273
42079,7.40392993924,7.41517732366,7.42794926115,2075
42080,13.3922301154,13.3979910183,13.4025974484,7971
42082,9.3780231906,9.44636268527,9.50295142313,465
42084,18.8961861324,19.0449024101,19.1532729365,440
42086,6.14684498007,6.18036297272,6.21850105761,595
42087,5.77302604133,5.77984620275,5.78624867782,3144
42088,6.4754287756,6.5253439053,6.5920792775,352
42089,8.65739743683,8.66462622545,8.67561768865,2430
42090,8.80347656974,8.85849943731,8.90318170073,580
42091,7.22505862917,7.35670707908,7.46732333578,201
42092,5.75646294641,5.79162424592,5.83651685123,538
42093,7.32024139751,7.33805960287,7.35632075501,1263
42095,9.69436592506,9.73239531444,9.76924646047,775
42096,5.74262116474,5.82789497722,5.89716421952,287
42098,3.02903411925,3.03535177125,3.04258747511,1423
42099,9.23015281809,9.29818550277,9.36599219769,432
42100,5.88410294848,5.90859486228,5.92835209921,948
42101,7.97243626651,7.9928012236,8.01686098725,776
42103,7.95162303588,8.03288357086,8.08316099639,379
42104,1.09170251478,1.09605377499,1.10019261952,1013
42105,6.39491534411,6.39969407507,6.40689948225,3182
42106,6.04823317341,6.05099517585,6.05282728738,7822
42107,7.09908063197,7.1857945885,7.27903358121,291
42108,6.32224200345,6.38847390182,6.4559530217,336
42109,6.06867796253,6.1509863678,6.19886572889,294
42111,5.73424980277,5.74705272859,5.75452787681,2116
42112,5.3459166584,5.4057842168,5.4665479007,244
42114,5.22424383939,5.23951873259,5.25563955296,1035
42115,6.57191568303,6.65227520912,6.75162101385,219
42116,8.22906490025,8.23989301904,8.24854649059,2731
42117,5.57924796143,5.58979269981,5.59719280328,2284
42118,7.29865456661,7.31096288965,7.32034767271,2068
42120,10.8859537676,10.8935927375,10.9004297245,4959
42121,7.01177394674,7.04029107231,7.06952709106,651
42122,4.62937331451,4.70617170049,4.78099124673,210
42123,16.9081821435,17.1416633296,17.3617672411,226
42125,7.58210178277,7.67200886585,7.78657712234,241
42126,10.144373927,10.2653888228,10.4118843335,253
42127,6.38049201998,6.47973539056,6.59582941268,206
42128,5.79153847528,5.85381319215,5.92747954266,273
42129,5.67378088279,5.72815258719,5.76768646533,348
42130,7.42028259046,7.51439388104,7.57119247269,329
42131,4.98192241533,4.99404093783,5.00394248243,1528
42132,6.95998556544,6.98769674849,7.00825486623,843
42133,6.71069121389,6.74587518747,6.77735797922,536
42134,8.80927202591,8.83289067739,8.8438168813,1550
42135,6.42064496497,6.54203692708,6.60144524488,231
42137,6.73164561428,6.74410350039,6.75596438419,1864
42138,4.01851823937,4.06491116947,4.10852437361,250
42140,8.10062261075,8.13840974792,8.18000262093,640
42141,11.3843976176,11.5256985067,11.6670339009,254
42142,15.1743005948,15.3856163193,15.5224112037,216
42143,6.11486633872,6.16523544521,6.20936372978,481
42145,5.58480639141,5.66631457686,5.72859267506,222
42147,8.87967070301,8.88824599652,8.89690170228,3144
42148,8.46761196567,8.4978959367,8.52760539239,944
42149,8.25888115958,8.30036526472,8.33559904589,698
42150,10.257228814,10.2985578533,10.3268831631,872
42151,8.17359600824,8.18582243362,8.19829506198,2000
42152,6.71707039037,6.7994158121,6.87294329974,245
42153,6.27885220087,6.34505254177,6.40688534321,315
42155,6.55164226876,6.6402344494,6.70967328139,304
42156,6.20331724181,6.26543121602,6.32118722905,355
42157,2.96506416906,3.01477717709,3.053183672,220
42158,5.19059418786,5.25027355438,5.28045357735,431
42159,7.69847787121,7.7224279876,7.74338124674,943
42160,6.1407077938,6.14527781192,6.14751450503,8184
42161,7.02218555508,7.11556846597,7.17416740442,303
42162,11.5322942507,11.5373452802,11.544547025,5953
42163,7.93650993282,7.9889188275,8.0598285695,388
42164,12.7954757994,12.9015258216,12.9860952631,443
42165,8.57576727686,8.72252425615,8.8422340938,217
42166,4.06488808976,4.07225474403,4.07815340392,2017
42168,7.71014779418,7.76445173724,7.80604273442,419
42169,7.4121063467,7.44846101913,7.48943647644,552
42170,5.80350929845,5.81389234177,5.8246736882,1689
42171,8.76302923609,8.79344652042,8.81777757971,1185
42172,7.97839691875,8.02107551519,8.07590069004,398
42173,5.272988639,5.27707981963,5.28021141034,4926
42174,6.86537035682,6.8933652115,6.91813476916,745
42176,7.5398903161,7.61253661984,7.70742532765,224
42177,6.38206218865,6.41934726714,6.48590485169,379
42178,6.11313352205,6.15976498319,6.19546081978,438
42179,5.88243816967,5.93847790171,5.99607410737,403
42180,10.993408407,10.9977991442,11.0018013788,9664
42181,9.19543624543,9.22805726157,9.24839647215,1171
42182,7.62422988983,7.64679944549,7.67185185505,900
42183,4.36093652186,4.37160698142,4.38064700821,1562
42184,7.17566323044,7.29021842104,7.3985166867,220
42185,9.08058896055,9.08735971285,9.09212698315,4795
42186,6.26097730865,6.29709094068,6.3529409539,414
42188,15.533396526,15.790456438,15.9313780477,309
42189,9.39420692194,9.40826743689,9.42216858537,1646
42191,11.4543362676,11.4694826725,11.4887359007,1874
42192,6.76135731756,6.7646144855,6.76799945036,6470
42193,2.26428453153,2.29129044678,2.32423904313,304
42194,7.63772299283,7.67543335872,7.7089221465,443
42195,5.68295094932,5.7461519126,5.80084856234,243
42197,5.64329568077,5.69596335718,5.72764745795,417
42198,15.7710670167,15.9934136439,16.1662049835,234
42199,5.84406935471,5.88136410802,5.91809270942,542
42200,9.26931221499,9.27833977712,9.28372377773,2900
42201,7.53839074089,7.62759677691,7.72232646946,255
42202,8.02623268814,8.11763881751,8.18914938059,269
42203,11.4429397719,11.5408705175,11.6187944938,389
42204,9.6636206862,9.79911109362,9.89656377982,212
42205,4.12063525618,4.12491485843,4.12973449897,2901
42206,13.992749819,14.0964789927,14.1761018663,473
42207,1.62331285314,1.64801238118,1.67755287851,261
42208,6.92931141877,6.97424914843,7.02028676321,535
42209,4.88554286974,4.93921730073,5.02657919068,210
42210,7.28658950206,7.34493506841,7.40087226312,407
42211,8.34836380448,8.35053914846,8.3530066177,11101
42212,7.94293752248,7.967409287,7.98856586181,1289
42213,5.55125573667,5.57646780021,5.6128764631,477
42214,6.87419922221,6.89484129649,6.91052343317,1229
42216,6.38544698976,6.48992183379,6.6259509413,209
42217,4.5636277291,4.61281745426,4.66134053309,299
42218,5.57657108095,5.6720942927,5.76261092262,216
42219,7.43842654221,7.4555774501,7.46691590464,1509
42220,8.76757717834,8.818870704,8.89575368018,279
42221,6.0405998735,6.07438125226,6.11219272691,534
42222,6.55607305576,6.59421541964,6.6359995186,563
42223,7.63798032575,7.66916182348,7.69411862948,878
42224,6.35266552613,6.45169496094,6.52097901637,255
42225,6.70475744037,6.73425982047,6.76309679437,657
42228,5.78145566148,5.85093797912,5.89970947252,281
42229,5.52349015916,5.52841652013,5.53182611137,4284
42231,5.32199553029,5.36462053898,5.39885280434,447
42232,4.55523333001,4.57348884195,4.59188379743,796
42233,7.92851791448,8.0779510532,8.17407207797,201
42236,4.30632189084,4.35910288151,4.42945423007,236
42237,7.50517567357,7.60619413488,7.69719819737,304
42239,7.70848027048,7.78485776263,7.83771690425,394
42240,7.06551145539,7.15129658809,7.21467647667,225
42241,7.86736688134,7.87611560799,7.88457245197,3143
42242,6.07634534317,6.15516819759,6.25168468342,200
42243,9.36263576669,9.46395676464,9.55111803719,250
42244,6.54052359255,6.59911057527,6.65325465106,368
42245,2.74505458386,2.76489600596,2.78910047859,298
42246,8.89414429208,8.92567794177,8.94026427147,1047
42247,8.75379040825,8.76861493714,8.77515065454,2168
42248,5.55003645026,5.62914241895,5.69287821727,236
42250,12.9884960954,13.1271197936,13.2374339351,288
42251,15.0046236046,15.0645761818,15.11536362,768
42252,6.35633170611,6.40146337302,6.44185259939,483
42253,11.8378553817,11.9273736651,12.0294973529,277
42254,6.10921114162,6.16029610534,6.20163522052,410
42255,5.83935342463,5.90842804811,5.96463349867,340
42256,8.93585470839,9.00492408435,9.09921845757,304
42257,8.19879432183,8.23452869331,8.27036504922,663
42258,7.05678580825,7.12786895105,7.18458661855,290
42261,5.70875173207,5.7550367014,5.78630315979,498
42263,7.7363447638,7.74156347113,7.74931942911,3192
42264,5.82352889766,5.86331495102,5.90459094371,499
42265,8.48854965093,8.5442612571,8.60149495745,396
42266,3.6002565134,3.63450557229,3.65995844557,361
42267,8.47807455395,8.49361764719,8.50900202906,1474
42269,8.94410640979,9.06985368975,9.19247800312,220
42270,3.32468234448,3.37773899715,3.41325770184,279
42271,15.5155007194,15.6446236279,15.7587271762,338
42273,7.64936293381,7.70218750678,7.76699299054,413
42274,8.51177624643,8.6134953616,8.72718364987,226
42276,7.36252740655,7.43954292833,7.50988324512,270
42277,5.00398862681,5.05974015292,5.13435459117,210
42280,4.07398106112,4.08199788302,4.09095651914,1351
42281,6.78979915635,6.87872336411,6.95907391979,258
42282,6.40880370871,6.51826017504,6.62034992321,218
42283,3.85631274186,3.88006114812,3.90911558865,536
42284,5.75785031213,5.78151593868,5.80756941952,732
42285,7.03818417626,7.12053790028,7.18477830601,341
42286,7.03613960121,7.04845695267,7.05818355515,2074
42287,11.0616841617,11.1763049704,11.270381705,422
42288,4.2159262715,4.2532808417,4.30052592756,293
42292,7.16784495161,7.16961801418,7.17108830238,15162
42293,8.13977418163,8.17523449415,8.2068933456,708
42294,7.20461762592,7.27436372717,7.32574883045,348
42295,8.40283833484,8.46678284906,8.54064058011,403
42296,5.68324803593,5.71231617578,5.7355634869,571
42297,10.4641768067,10.663330852,10.8094369592,203
42298,6.03164999295,6.06102709412,6.10406533731,535
42299,13.3171522708,13.5296897047,13.7399550521,208
42300,4.88753214995,4.98544199489,5.05322024554,204
42301,8.67886903405,8.80064718417,8.89753594664,265
42302,8.84432267552,8.95690105312,9.04346607073,204
42303,4.83481879103,4.85685910345,4.88159782393,639
42304,11.4545856666,11.4991295436,11.5598833687,598
42306,7.2398962283,7.25729552018,7.27786790693,970
42307,4.95099449502,4.97402719458,4.99413159671,760
42308,5.58592510893,5.65520107353,5.72334378264,303
42310,7.10907405137,7.23454974419,7.33649583936,220
42311,3.8309172333,3.83720079359,3.84212635548,2252
42312,8.41829954229,8.44235305175,8.46446192166,1130
42314,8.14714484324,8.16042207587,8.18180421934,1609
42315,6.88310700172,6.89579942856,6.90312944649,2646
42316,12.3190743798,12.4551203024,12.6059147814,254
42317,12.601154484,12.748379144,12.8644214313,348
42319,6.37955414521,6.48382532969,6.57763578091,213
42320,10.0168978842,10.1023046569,10.1870078963,368
42321,5.65060087116,5.71711986658,5.79179518426,227
42322,6.08715477904,6.12707393981,6.18654470963,328
42323,8.91138960279,8.91367120969,8.91502182707,17220
42324,6.87950025829,6.88275930545,6.88668587404,5131
42325,6.45053534032,6.47941749381,6.49734861513,827
42326,8.53331179022,8.55865509884,8.5883478123,755
42327,6.75841417806,6.81644239411,6.87403821456,343
42328,9.45338198222,9.50501725027,9.56486750646,456
42330,6.93567828143,6.95120627092,6.97142898172,1105
42331,7.07397141447,7.13041498792,7.1891652921,311
42333,6.89978586662,6.93700306441,6.96838957133,518
42334,6.8960816882,6.93697602221,6.96651807783,543
42335,6.88107587639,6.90662720471,6.93292770724,1055
42336,11.1917298375,11.2495139857,11.2986311861,723
42337,9.10174516516,9.14585568524,9.18219573803,679
42338,6.97753209485,7.04910996466,7.13978561429,252
42339,5.94361625106,6.03263829277,6.09666920415,229
42340,5.953819153,6.03770837342,6.12252086436,229
42341,10.0511459325,10.072504903,10.0879734862,1224
42342,8.24026544613,8.31742319287,8.40555528791,290
42343,7.19154160866,7.25176410877,7.31142343435,339
42344,6.38769963539,6.43349317613,6.50349073694,341
42346,4.82220799256,4.84711702894,4.86346126628,843
42348,7.82676848481,7.86754682693,7.90020444089,797
42350,3.94266801364,3.96300033209,3.98083308824,735
42351,5.94452202071,6.00300477439,6.08340236033,301
42352,6.98348065677,7.05943869605,7.14346763965,242
42353,7.11085579969,7.14252915496,7.16871986193,662
42354,7.20953594175,7.24317804917,7.27556432047,702
42355,4.95112623117,4.9802444029,5.00855386476,551
42356,12.8934636206,13.0077526687,13.1453564443,334
42358,6.32260134485,6.32708961085,6.3321307763,4147
42359,7.19945544611,7.29485004992,7.39135951762,241
42360,3.82712715279,3.8947432008,3.95952920955,227
42362,5.33322687593,5.34248357899,5.3509193861,2095
42363,4.66359787333,4.67906023523,4.69732251857,753
42364,6.0321682553,6.08862365178,6.14721761789,270
42366,5.73710401155,5.81979440714,5.90509092065,216
42367,4.52851769528,4.60875681588,4.66543601761,199
42370,8.98111956603,9.00058885966,9.02710942814,976
42371,3.44764086362,3.46017904202,3.46538697181,1056
42373,10.8183955313,10.9483811481,11.0615453706,276
42374,5.98762410307,6.06040359431,6.14206319334,243
42375,2.88090311306,2.91877070041,2.96339252383,212
42378,7.26939943108,7.36533222148,7.45836843705,265
42379,11.2688344281,11.3270514857,11.3769529798,613
42380,10.5768923532,10.584540248,10.5922846152,4117
42381,9.20108096309,9.24048583324,9.27403553505,759
42382,5.21121689286,5.25980720004,5.30608068559,304
