#file,c
Halo_R_08482.csv,6.333671
Halo_R_15071.csv,6.710628
Halo_R_20333.csv,5.412501
Halo_R_01661.csv,7.481149
Halo_R_24129.csv,6.093199
Halo_R_02758.csv,6.197993
Halo_R_00118.csv,3.527292
Halo_R_00094.csv,4.698352
Halo_R_08399.csv,7.260129
Halo_R_03851.csv,5.788552
Halo_R_01428.csv,5.222037
Halo_R_09167.csv,6.212782
Halo_R_03919.csv,4.838795
Halo_R_04440.csv,5.644649
Halo_R_15911.csv,7.159336
Halo_R_02435.csv,8.105026
Halo_R_01139.csv,5.620753
Halo_R_07319.csv,7.424066
Halo_R_00135.csv,7.307995
Halo_R_30503.csv,5.875633
Halo_R_14281.csv,4.425989
Halo_R_21350.csv,9.402106
Halo_R_23966.csv,6.321228
Halo_R_05856.csv,6.470722
Halo_R_06228.csv,7.434476
Halo_R_19575.csv,4.845617
Halo_R_23134.csv,6.303918
Halo_R_03854.csv,7.375006
Halo_R_13852.csv,6.066563
Halo_R_22600.csv,4.097381
Halo_R_16882.csv,9.030646
Halo_R_02901.csv,7.142529
Halo_R_28070.csv,9.102797
Halo_R_13862.csv,4.864597
Halo_R_26092.csv,7.007997
Halo_R_06028.csv,5.123540
Halo_R_16710.csv,6.924298
Halo_R_15905.csv,7.243252
Halo_R_29796.csv,8.055220
Halo_R_02466.csv,5.366576
Halo_R_17094.csv,5.736022
Halo_R_03298.csv,7.614169
Halo_R_07718.csv,4.334421
Halo_R_25374.csv,7.675794
Halo_R_18515.csv,8.455331
Halo_R_07618.csv,4.856239
Halo_R_28274.csv,2.533051
Halo_R_25124.csv,6.273952
Halo_R_24137.csv,5.891060
Halo_R_02402.csv,7.729128
Halo_R_18351.csv,6.223332
Halo_R_20915.csv,6.039046
Halo_R_20892.csv,6.930154
Halo_R_29627.csv,5.979747
Halo_R_04252.csv,5.374180
Halo_R_07390.csv,5.597369
Halo_R_04395.csv,6.848101
Halo_R_20048.csv,8.635926
Halo_R_20064.csv,7.302641
Halo_R_24982.csv,6.029542
Halo_R_00708.csv,8.502576
Halo_R_01291.csv,5.188555
Halo_R_02393.csv,5.650898
Halo_R_14814.csv,5.181860
Halo_R_17043.csv,5.788876
Halo_R_00003.csv,6.135270
Halo_R_15935.csv,7.123883
Halo_R_26942.csv,3.467600
Halo_R_05315.csv,7.283056
Halo_R_29044.csv,7.063428
Halo_R_14091.csv,7.164541
Halo_R_00539.csv,7.184826
Halo_R_07908.csv,3.966583
Halo_R_03821.csv,4.923751
Halo_R_12996.csv,7.322236
Halo_R_00241.csv,7.940580
Halo_R_12179.csv,6.652662
Halo_R_19685.csv,7.905815
Halo_R_27050.csv,5.215761
Halo_R_16701.csv,5.000830
Halo_R_05641.csv,5.923811
Halo_R_22662.csv,5.431370
Halo_R_12984.csv,8.161049
Halo_R_05659.csv,6.284999
Halo_R_18184.csv,4.842023
Halo_R_15300.csv,10.686826
Halo_R_02487.csv,10.277841
Halo_R_06121.csv,8.030889
Halo_R_18297.csv,8.340907
Halo_R_28498.csv,4.317084
Halo_R_24987.csv,4.918913
Halo_R_11764.csv,5.745930
Halo_R_11960.csv,4.849623
Halo_R_10937.csv,5.504008
Halo_R_10798.csv,8.495317
Halo_R_13173.csv,8.160816
Halo_R_10685.csv,4.856104
Halo_R_20834.csv,8.239277
Halo_R_16035.csv,7.373996
Halo_R_11639.csv,2.328737
Halo_R_20960.csv,7.264471
Halo_R_05176.csv,5.675882
Halo_R_19950.csv,7.177183
Halo_R_23178.csv,5.683541
Halo_R_07226.csv,5.635645
Halo_R_15999.csv,7.440097
Halo_R_29919.csv,5.827528
Halo_R_11346.csv,6.455037
Halo_R_03831.csv,5.957679
Halo_R_08832.csv,9.754305
Halo_R_27046.csv,4.266588
Halo_R_01052.csv,4.131557
Halo_R_10848.csv,5.815870
Halo_R_07692.csv,6.638692
Halo_R_11902.csv,5.967843
Halo_R_23082.csv,7.674594
Halo_R_06184.csv,5.247534
Halo_R_10782.csv,8.729043
Halo_R_07127.csv,6.273908
Halo_R_19970.csv,6.471751
Halo_R_16524.csv,7.044254
Halo_R_06077.csv,4.150187
Halo_R_27416.csv,7.200916
Halo_R_06639.csv,6.086453
Halo_R_04246.csv,4.102710
Halo_R_06492.csv,6.704225
Halo_R_01277.csv,7.096591
Halo_R_08452.csv,5.364984
Halo_R_14486.csv,4.451037
Halo_R_01638.csv,6.507028
Halo_R_19470.csv,8.869653
Halo_R_25233.csv,10.935618
Halo_R_15266.csv,7.019484
Halo_R_00002.csv,6.685503
Halo_R_14545.csv,7.011945
Halo_R_03090.csv,5.325945
Halo_R_27225.csv,4.704916
Halo_R_01297.csv,4.060307
Halo_R_23778.csv,4.738855
Halo_R_26444.csv,5.339422
Halo_R_20543.csv,4.016301
Halo_R_22349.csv,5.190199
Halo_R_07056.csv,8.260613
Halo_R_19980.csv,5.879612
Halo_R_07516.csv,6.317663
Halo_R_11383.csv,4.003866
Halo_R_30114.csv,3.133888
Halo_R_30937.csv,8.948015
Halo_R_17146.csv,5.518927
Halo_R_02099.csv,7.747602
Halo_R_28741.csv,7.068774
Halo_R_28140.csv,7.924557
Halo_R_07215.csv,7.935722
Halo_R_16833.csv,6.672594
Halo_R_06103.csv,5.919447
Halo_R_13075.csv,3.152858
Halo_R_20764.csv,7.946703
Halo_R_22644.csv,9.681502
Halo_R_01482.csv,7.397051
Halo_R_07249.csv,6.356852
Halo_R_04035.csv,8.698904
Halo_R_02033.csv,7.907812
Halo_R_03087.csv,7.867625
Halo_R_08021.csv,6.774250
Halo_R_19785.csv,5.686012
Halo_R_18522.csv,6.560413
Halo_R_18083.csv,5.141963
Halo_R_16827.csv,4.356650
Halo_R_08493.csv,7.751913
Halo_R_05944.csv,6.018868
Halo_R_04552.csv,6.853727
Halo_R_29528.csv,5.302168
Halo_R_11999.csv,4.151560
Halo_R_02939.csv,6.966163
Halo_R_21957.csv,6.623646
Halo_R_11310.csv,6.265221
Halo_R_29486.csv,6.028791
Halo_R_07866.csv,5.164144
Halo_R_27108.csv,5.392246
Halo_R_18731.csv,7.889674
Halo_R_02973.csv,5.893010
Halo_R_05225.csv,8.420923
Halo_R_09566.csv,4.387229
Halo_R_21304.csv,6.664658
Halo_R_19283.csv,7.531086
Halo_R_05603.csv,5.541791
Halo_R_04524.csv,7.030306
Halo_R_23832.csv,4.326896
Halo_R_02604.csv,4.370451
Halo_R_21538.csv,6.116979
Halo_R_21059.csv,7.448901
Halo_R_11175.csv,5.320692
Halo_R_08839.csv,5.914180
Halo_R_22462.csv,8.560409
Halo_R_27357.csv,9.864656
Halo_R_30973.csv,8.919393
Halo_R_21391.csv,5.191648
Halo_R_11113.csv,10.099034
Halo_R_29990.csv,2.738156
Halo_R_05766.csv,6.907322
Halo_R_00812.csv,7.186371
Halo_R_28264.csv,5.736868
Halo_R_18053.csv,9.594831
Halo_R_20564.csv,8.779393
Halo_R_04439.csv,5.952698
Halo_R_21044.csv,7.851883
Halo_R_04794.csv,8.703278
Halo_R_06211.csv,6.626189
Halo_R_03709.csv,7.653671
Halo_R_03126.csv,5.000520
Halo_R_28074.csv,3.947806
Halo_R_03992.csv,4.120086
Halo_R_08485.csv,8.360762
Halo_R_20867.csv,5.863433
Halo_R_19973.csv,8.538189
Halo_R_11220.csv,4.095729
Halo_R_03514.csv,8.410403
Halo_R_08271.csv,4.402489
Halo_R_02330.csv,2.869457
Halo_R_21492.csv,4.609946
Halo_R_17840.csv,8.928471
Halo_R_19018.csv,4.262637
Halo_R_12762.csv,4.402988
Halo_R_23799.csv,5.578196
Halo_R_30018.csv,8.209712
Halo_R_02230.csv,6.685092
Halo_R_00400.csv,6.469233
Halo_R_12875.csv,5.022733
Halo_R_12846.csv,6.634760
Halo_R_00519.csv,4.545931
Halo_R_19834.csv,3.341695
Halo_R_09810.csv,5.612903
Halo_R_13768.csv,6.172405
Halo_R_00026.csv,6.863822
Halo_R_09430.csv,5.221350
Halo_R_15838.csv,3.965203
Halo_R_21166.csv,3.274701
Halo_R_28704.csv,7.376837
Halo_R_01526.csv,8.438705
Halo_R_24697.csv,5.307149
Halo_R_04461.csv,6.911540
Halo_R_01279.csv,7.297376
Halo_R_04031.csv,5.642314
Halo_R_22760.csv,6.190644
Halo_R_16538.csv,8.060361
Halo_R_10269.csv,7.440802
Halo_R_28701.csv,5.526908
Halo_R_16307.csv,6.067683
Halo_R_19546.csv,6.693367
Halo_R_05749.csv,4.734284
Halo_R_25571.csv,5.562073
Halo_R_08089.csv,6.352936
Halo_R_11689.csv,3.835432
Halo_R_14588.csv,7.768376
Halo_R_10846.csv,7.602994
Halo_R_03229.csv,7.632394
Halo_R_03088.csv,6.943885
Halo_R_21472.csv,7.529196
Halo_R_25147.csv,5.718291
Halo_R_11721.csv,7.296005
Halo_R_00680.csv,9.989379
Halo_R_14823.csv,8.980304
Halo_R_09162.csv,8.031197
Halo_R_19707.csv,2.538471
Halo_R_23257.csv,7.019972
Halo_R_03096.csv,6.884663
Halo_R_18970.csv,4.951746
Halo_R_21918.csv,4.765931
Halo_R_22999.csv,6.772023
Halo_R_10185.csv,9.974309
Halo_R_12634.csv,2.910614
Halo_R_05255.csv,4.424367
Halo_R_14238.csv,5.899770
Halo_R_28246.csv,2.328737
Halo_R_07944.csv,5.745119
Halo_R_17268.csv,6.319979
Halo_R_30320.csv,9.297938
Halo_R_20461.csv,4.051219
Halo_R_25455.csv,5.859749
Halo_R_10604.csv,5.756168
Halo_R_02988.csv,8.894985
Halo_R_04278.csv,5.801819
Halo_R_19594.csv,8.008174
Halo_R_09443.csv,4.533156
Halo_R_14451.csv,6.587982
Halo_R_03269.csv,7.207742
Halo_R_28683.csv,7.629390
Halo_R_15629.csv,7.175946
Halo_R_27126.csv,5.084978
Halo_R_27000.csv,5.467503
Halo_R_14355.csv,4.401260
Halo_R_10963.csv,6.237175
Halo_R_18656.csv,3.001345
Halo_R_08659.csv,5.307332
Halo_R_00050.csv,4.597946
Halo_R_29948.csv,7.402197
Halo_R_07284.csv,7.260760
Halo_R_01323.csv,5.071465
Halo_R_25934.csv,5.840952
Halo_R_18317.csv,7.170702
Halo_R_12037.csv,5.916919
Halo_R_11929.csv,4.587883
Halo_R_15986.csv,8.122667
Halo_R_24705.csv,8.551100
Halo_R_07140.csv,6.366550
Halo_R_17782.csv,8.821551
Halo_R_17073.csv,10.268354
Halo_R_08374.csv,8.456001
Halo_R_00278.csv,6.057427
Halo_R_08346.csv,4.865979
Halo_R_25078.csv,4.775660
Halo_R_04070.csv,5.836465
Halo_R_04313.csv,6.147777
Halo_R_25880.csv,6.540453
Halo_R_24172.csv,6.794210
Halo_R_09183.csv,6.774783
Halo_R_00823.csv,7.756624
Halo_R_12890.csv,6.862355
Halo_R_16216.csv,7.156322
Halo_R_10132.csv,5.032899
Halo_R_20966.csv,7.864405
Halo_R_15535.csv,7.070603
Halo_R_16810.csv,4.913310
Halo_R_18218.csv,3.827193
Halo_R_02545.csv,5.157308
Halo_R_16611.csv,3.622319
Halo_R_04123.csv,7.445274
Halo_R_08285.csv,10.151149
Halo_R_03627.csv,7.459040
Halo_R_30974.csv,6.166000
Halo_R_15021.csv,5.259076
Halo_R_11357.csv,5.178467
Halo_R_19488.csv,5.541503
Halo_R_28545.csv,5.476210
Halo_R_11775.csv,5.803247
Halo_R_06176.csv,6.716515
Halo_R_15056.csv,4.199274
Halo_R_11695.csv,6.646541
Halo_R_16329.csv,6.381432
Halo_R_18811.csv,7.320897
Halo_R_01636.csv,4.304265
Halo_R_12405.csv,4.570624
Halo_R_01148.csv,7.138442
Halo_R_09116.csv,7.776923
Halo_R_17598.csv,4.784675
Halo_R_18003.csv,7.650983
Halo_R_06700.csv,6.410164
Halo_R_21407.csv,6.394661
Halo_R_11673.csv,5.936825
Halo_R_08766.csv,6.625703
Halo_R_25116.csv,4.335769
Halo_R_01615.csv,2.839068
Halo_R_09670.csv,5.873320
Halo_R_09027.csv,5.602576
Halo_R_05073.csv,8.068869
Halo_R_01723.csv,3.900561
Halo_R_21741.csv,7.100545
Halo_R_07453.csv,5.371776
Halo_R_05867.csv,6.036056
Halo_R_20479.csv,5.999206
Halo_R_08621.csv,6.611093
Halo_R_28260.csv,4.460775
Halo_R_13197.csv,4.859958
Halo_R_27224.csv,4.051508
Halo_R_14957.csv,5.943742
Halo_R_07964.csv,7.163322
Halo_R_07069.csv,5.814773
Halo_R_07028.csv,8.504588
Halo_R_12876.csv,5.040797
Halo_R_08735.csv,6.840455
Halo_R_03472.csv,8.814635
Halo_R_03304.csv,5.845465
Halo_R_16632.csv,13.407373
Halo_R_05661.csv,6.983770
Halo_R_03906.csv,6.173466
Halo_R_01517.csv,6.931027
Halo_R_01590.csv,7.657123
Halo_R_05309.csv,9.262412
