# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85001671335,398.420500,462.417900,876.087800,14.095777,16.702469,11.476592,0.401082,251,252
85001671342,428.980900,484.219000,885.142500,21.821847,27.885297,15.766912,0.419931,251,252
85001671437,370.563900,503.221700,896.087200,15.003157,17.389168,12.559927,0.487195,251,252
85001677056,375.717700,439.143900,871.603100,9.233885,10.454646,8.044330,0.333984,250,251
85001677057,335.427400,497.825900,880.144700,15.210668,17.474625,12.887367,0.329691,250,251
85001677647,393.069900,462.315400,905.958300,8.755777,10.831590,6.717015,0.444614,250,251
85001677648,400.972300,488.292300,891.809300,31.858622,37.914896,25.821654,0.437948,250,251
85001677653,427.111500,454.425800,918.604400,11.866450,13.470747,10.233518,0.355262,250,251
85001677761,412.970800,515.911600,861.139200,19.880463,23.950045,15.850269,0.402422,250,251
85001683478,365.565900,440.145800,840.416900,13.081080,15.313584,10.867977,0.389679,249,250
85001683479,340.792500,459.859300,857.980500,9.456779,11.175750,7.697872,0.365237,249,250
85001684050,384.507800,452.218700,890.623700,8.744182,10.532118,6.924895,0.399459,249,250
85001684051,381.925600,430.026800,862.870500,32.972119,46.030747,19.685685,0.389456,249,250
85001684058,418.628200,474.670000,883.828500,11.953412,15.078158,8.748694,0.380581,249,250
85001684133,371.576600,500.897400,905.733000,7.752486,9.051319,6.478904,0.280908,249,250
85001684138,350.120700,516.621600,905.526900,9.719618,11.237556,8.196899,0.350179,249,250
85001689848,350.679100,493.092900,833.877900,16.403990,19.086393,13.762707,0.379520,248,249
85001689849,347.063500,496.811600,840.738000,84.756433,566.177158,9.919777,0.432288,248,249
85001689858,350.459000,476.710100,883.442300,29.073956,39.401999,18.708391,0.443892,248,249
85001689859,337.510800,487.312600,900.370600,41.907879,199.473581,9.058762,0.401031,248,249
85001689860,341.252200,495.986500,902.540100,19.333676,21.461186,17.170053,0.399882,248,249
85001689861,369.888000,489.036500,911.915800,9.303838,10.765487,7.877396,0.381242,248,249
85001690453,380.830700,438.004200,878.061100,14.099336,17.218726,10.936035,0.395046,248,249
85001690454,416.337600,485.679500,893.209300,14.547556,17.881432,11.254880,0.339202,248,249
85001690455,378.031900,433.997700,865.668000,13.784201,17.546307,10.061098,0.320320,248,249
85001695754,376.307000,431.315800,859.821800,43.324912,59.260172,27.678503,0.383584,247,248
85001696363,348.663700,487.258000,871.502600,25.853806,32.684719,19.091936,0.382933,247,248
