haloID,c_low,c_mid,c_high,n_particles,virial_r
07394,8.77616851681,8.92833597647,9.16940165797,999,207.11499608
07395,9.62252006363,9.90743413226,10.0803333273,3307,207.11499608
07396,8.9304158068,9.0981987839,9.22091805442,4133,207.11499608
07397,12.3515507423,12.9801803577,13.4810831178,205,207.11499608
07398,9.68775692113,9.89454077751,10.0357762294,22725,207.11499608
07399,12.3077814261,12.6726057678,13.0866306266,577,207.11499608
07400,9.81396418946,9.97587998203,10.2400362913,1088,207.11499608
07401,10.1686636394,10.4660575751,10.8762358022,667,207.11499608
07402,10.0878969663,10.3153826537,10.5003924959,2986,207.11499608
07403,9.47905335324,9.65667926316,9.7850625747,9725,207.11499608
07404,9.09838648911,9.34897602401,9.61996062833,3290,207.11499608
07405,9.7574214746,9.912495535,10.0168883261,19439,207.11499608
07406,9.56004161347,9.77264005153,9.95159392307,23536,207.11499608
07407,9.06849441018,9.35873709814,9.61484555232,953,207.11499608
07408,8.4140226896,8.85388605229,9.26453739079,449,207.11499608
07409,9.5141584035,9.7212769011,9.92335646322,5918,207.11499608
07410,9.23940716742,9.38935480805,9.57004718411,11624,207.11499608
07411,9.69396367083,9.9208394228,10.1329598376,19333,207.11499608
07412,9.54609396506,9.70845851789,9.90847984276,19075,207.11499608
07413,9.62394675673,9.80628999087,9.95860186864,11428,207.11499608
07414,7.49971032352,7.86974958724,8.18673128388,201,207.11499608
07415,6.968493996,7.15362970832,7.40357310886,799,207.11499608
07416,8.30752770216,8.59627488098,8.87461941063,435,207.11499608
07417,9.10387445853,9.22542498541,9.38272321843,18533,207.11499608
07418,11.1841152193,11.4175270694,11.811901631,521,207.11499608
07419,9.21140293118,9.41119200369,9.65005213284,4879,207.11499608
07420,8.31169953448,8.50701450387,8.71530696284,1071,207.11499608
07421,10.0038164921,10.4976519481,11.1656537641,1196,207.11499608
07422,9.89534626014,10.2313339877,10.5508204133,1542,207.11499608
07423,9.03672664929,9.33574383071,9.62321208697,644,207.11499608
07424,10.0895086571,10.2303029599,10.51620265,3815,207.11499608
07425,9.30423319318,9.56421965464,9.76622723306,5116,207.11499608
