haloID,c,n_particles,virial_r
00094,9.83724130857,1726,207.11499608
00095,9.04014906923,1180,207.11499608
00096,11.5190331583,334,207.11499608
00097,9.77935024233,13966,207.11499608
00098,9.24372352854,490,207.11499608
00099,9.98580528227,2929,207.11499608
00100,9.28687872087,17251,207.11499608
00101,9.24165821491,474,207.11499608
00102,9.11834202592,9057,207.11499608
00103,9.90445828474,875,207.11499608
00104,9.26427516384,22041,207.11499608
00105,9.4052966369,13009,207.11499608
00106,10.3045341221,1417,207.11499608
00107,9.33023981462,4826,207.11499608
00108,15.1046550704,262,207.11499608
00109,9.82930303742,2595,207.11499608
00110,9.18681977314,4570,207.11499608
00111,9.92343494289,2405,207.11499608
00112,9.68808121666,622,207.11499608
00113,10.5412064156,211,207.11499608
00114,9.0906659157,1168,207.11499608
00115,9.21928986773,17140,207.11499608
00116,9.4977851381,14680,207.11499608
00117,10.9767311949,1046,207.11499608
00118,8.96031612733,511,207.11499608
00119,9.43830854558,7312,207.11499608
00120,9.36404028634,5427,207.11499608
00121,8.72563569179,1970,207.11499608
00122,8.98157640479,10162,207.11499608
00123,9.21965312035,15547,207.11499608
00124,8.94363160518,19657,207.11499608
00125,9.57991129027,7945,207.11499608
00126,9.82225749346,2200,207.11499608
00127,9.34074233147,1386,207.11499608
00128,8.87073222041,7945,207.11499608
00129,9.34204174425,7035,207.11499608
00130,9.98233352318,2436,207.11499608
00131,9.20947281079,1419,207.11499608
00132,11.9128098387,840,207.11499608
00133,9.42420360029,14771,207.11499608
00134,10.3073001541,349,207.11499608
00135,9.99958622872,2261,207.11499608
00136,9.35285671848,1592,207.11499608
00137,9.30821700366,24344,207.11499608
00138,9.0622085833,2625,207.11499608
00139,10.5370131873,403,207.11499608
00140,10.850857197,581,207.11499608
00141,9.6315124619,3876,207.11499608
00142,8.83950985324,1784,207.11499608
00143,9.00946639244,320,207.11499608
00144,9.34541297109,1275,207.11499608
00145,9.52287720353,2019,207.11499608
00146,9.47091934994,22939,207.11499608
00147,10.1943995986,3218,207.11499608
00148,9.52394504007,14645,207.11499608
00149,9.39319998455,8365,207.11499608
00150,11.2501269739,390,207.11499608
00151,9.0757773444,2569,207.11499608
00152,9.25088825659,11770,207.11499608
00153,9.05861847022,220,207.11499608
00154,9.60851971264,12363,207.11499608
00155,9.09496714592,21956,207.11499608
00156,11.7459907478,618,207.11499608
00157,9.6095426077,474,207.11499608
00158,9.85204611346,2249,207.11499608
00159,9.33389390316,10682,207.11499608
00160,10.2642720028,1814,207.11499608
00161,12.7255251688,225,207.11499608
00162,9.84002078227,716,207.11499608
00163,9.2633032021,4204,207.11499608
00164,12.2965931124,1113,207.11499608
00165,9.92129640819,713,207.11499608
00166,9.24990778184,372,207.11499608
00167,11.9354554701,453,207.11499608
00168,9.37236295915,20617,207.11499608
00169,11.2275122452,791,207.11499608
00170,10.1476230914,1694,207.11499608
00171,9.68592159277,18639,207.11499608
00172,9.0797015208,1263,207.11499608
00173,9.74762973986,584,207.11499608
00174,8.99136774665,823,207.11499608
00175,9.56586961647,6353,207.11499608
00176,10.6529243678,254,207.11499608
00177,9.2724792403,13129,207.11499608
00178,9.31405486482,13576,207.11499608
00179,8.79349622457,5337,207.11499608
00180,8.97548946614,558,207.11499608
00181,9.47515505033,2083,207.11499608
00182,9.42439137764,804,207.11499608
00183,10.2235306804,1946,207.11499608
00184,9.37562922933,423,207.11499608
00185,9.34195262275,1502,207.11499608
00186,9.96752282266,1320,207.11499608
00187,9.46333888081,17267,207.11499608
00188,9.45429683562,23513,207.11499608
00189,8.36661733121,425,207.11499608
00190,9.61155605479,5163,207.11499608
00191,9.22465499341,15701,207.11499608
00192,9.37767134382,336,207.11499608
00193,9.6552139633,14893,207.11499608
00194,9.039687196,12940,207.11499608
00195,9.64445763993,2746,207.11499608
00196,10.0651056274,2052,207.11499608
00197,9.5370494593,8086,207.11499608
00198,9.358919045,3439,207.11499608
00199,9.35742807419,2129,207.11499608
