#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85008216591,465.825700,466.068200,516.840400,2.786583,3.774551,1.810481,1.594348,2.624168,0.931354,0.127701,0.114745,35,31,44
85004791524,548.856000,511.971000,480.478100,5.618289,6.536291,4.705659,5.001655,5.782360,4.198277,0.169570,0.131414,77,59,81
85003876454,460.684200,478.337000,452.013800,19.189048,21.324630,17.011166,10.934918,12.105212,9.738546,0.183225,0.147151,74,69,102
85004692845,537.711000,531.320600,549.529700,2.917161,3.882292,1.955291,1.944459,2.989394,0.979031,0.182245,0.132209,74,59,83
85007925669,501.297800,458.518800,473.582500,8.072147,9.409843,6.700871,7.723906,9.503817,5.962784,0.135380,0.105903,39,31,46
85004227464,478.522200,473.647400,501.301600,5.836312,6.598642,5.077682,3.811744,4.741880,2.897339,0.191821,0.145526,90,80,93
85002768999,495.555600,520.882900,535.001300,5.107492,5.889060,4.316664,3.692281,4.579307,2.821959,0.217957,0.156478,130,99,147
85003745335,494.286000,459.522400,533.999000,0.402320,1.708455,0.227480,0.039931,1.352268,0.039931,0.133705,0.100588,32,25,106
85003846290,543.305300,532.919300,496.050900,8.041546,8.915197,7.163458,4.419496,5.320869,3.542939,0.202931,0.151047,97,91,103
85003244538,475.459100,460.388000,502.689200,4.100444,4.943694,3.239273,2.901435,3.932037,1.888078,0.206515,0.153222,110,95,124
85008507125,483.724300,517.258900,456.832800,4.730064,5.656661,3.812604,2.577321,3.802698,1.432720,0.147303,0.110232,40,36,42
85000885041,456.617300,459.019700,516.464400,8.628122,9.125355,8.134408,5.835855,6.480750,5.201454,0.325506,0.250149,456,415,486
85004308062,485.873200,530.352600,534.356000,4.291668,5.154215,3.441634,2.485303,3.433654,1.609168,0.186667,0.140078,83,73,91
85000735081,488.639400,465.117100,485.357500,9.503017,9.996894,9.017014,6.360225,6.932883,5.793190,0.349840,0.266413,554,503,586
85005689325,452.387200,541.077800,495.779100,12.135560,13.914046,10.397619,9.984444,11.420219,8.565256,0.165098,0.123252,57,50,67
85006786823,452.275600,543.015900,538.786600,9.466082,11.194101,7.762359,5.658755,6.551234,4.741636,0.146597,0.122795,53,49,55
85007262038,467.437300,466.998700,508.436700,6.370836,7.358517,5.379608,4.471325,5.578142,3.370670,0.154933,0.117450,47,43,51
85007769241,460.752900,513.406100,534.084700,5.149667,6.066609,4.213954,4.224275,5.950567,2.455141,0.144084,0.111235,41,35,47
85007925611,473.282400,477.074200,461.245500,6.619631,7.622496,5.621143,4.881155,6.352547,3.393244,0.145359,0.113093,42,36,46
85004269595,465.345300,458.008700,506.261200,6.424183,7.175825,5.655705,4.738556,5.551163,3.909966,0.182864,0.143389,82,72,92
85007909485,490.506300,542.782700,539.116800,7.184464,8.701884,5.689489,3.912022,4.898984,2.897016,0.155482,0.120809,44,41,46
85001331783,549.560100,468.788800,544.950300,6.250316,7.182841,5.302425,4.387644,5.236625,3.553463,0.205995,0.153931,99,93,319
85003244547,501.970600,522.666000,496.790800,6.034287,6.779050,5.275438,5.004840,5.811150,4.176150,0.202121,0.143978,107,79,124
85002379067,508.477900,488.393500,489.535000,6.831924,7.555362,6.106760,4.611567,5.437827,3.793194,0.223729,0.169380,143,128,173
85004271054,536.525900,543.845000,521.093800,6.961611,7.706200,6.228864,4.782182,5.582391,3.999068,0.187796,0.138837,82,70,92
85001245201,494.398500,519.487400,499.045900,13.004898,13.852186,12.146511,9.437005,10.136386,8.733043,0.298482,0.226122,335,308,342
85007770481,473.094000,493.831800,453.847800,10.000000,45.189802,9.406888,10.000000,15.819854,4.290335,0.060046,0.060046,1,1,47
85002416948,458.825500,480.502900,541.751800,8.479137,9.103083,7.848810,5.831634,6.699556,4.946798,0.230709,0.174204,154,137,170
85005137745,476.659500,488.387500,455.380800,9.555413,10.838547,8.238287,6.858222,8.284261,5.455249,0.169841,0.132833,64,55,75
85007769165,468.594600,517.542200,483.282200,2.822235,3.936504,1.730833,1.742905,3.039655,1.742905,0.119604,0.091354,22,19,47
85000630105,473.107400,486.574100,460.640400,6.510630,7.062476,5.952744,4.178900,4.934193,3.423338,0.364754,0.279968,636,577,684
85004959061,548.639300,509.192700,478.211800,3.606149,4.615381,2.610667,2.531425,3.539492,1.514020,0.168282,0.129742,63,56,78
85000910718,539.055100,512.208600,451.418300,7.368664,7.870094,6.861609,5.148719,5.840292,4.442687,0.326217,0.247672,461,402,472
85002560985,543.825600,531.242900,510.612900,9.015698,9.852554,8.178850,6.057735,6.727623,5.382975,0.226909,0.171510,150,135,160
85001331850,539.153700,519.210300,460.527300,7.398694,7.971658,6.818362,5.292179,6.033626,4.558788,0.276825,0.204886,272,233,319
85000721616,471.438500,504.013100,477.512600,9.601162,10.093730,9.116683,6.115478,6.691090,5.554562,0.353885,0.270066,572,529,597
85003951260,525.514000,488.370800,528.563600,8.331824,9.385169,7.293108,5.062466,5.919445,4.224164,0.187959,0.143833,87,79,100
85006591010,502.562200,542.995000,533.777100,3.753744,4.676794,2.815549,2.447232,3.587008,1.659747,0.158828,0.115585,52,41,57
85003170494,469.502600,525.845800,490.409400,3.160790,4.127567,2.169038,1.771638,2.813689,1.015265,0.211060,0.163217,122,112,127
85002329029,528.437400,512.145800,542.034200,6.516451,7.165668,5.854898,4.381283,5.246891,3.520786,0.234893,0.173663,164,142,177
85002530559,455.664500,472.954400,462.903100,4.616887,5.430570,3.792594,3.052210,3.981961,2.113347,0.222384,0.163743,142,117,162
85005330587,455.123200,524.233000,508.325500,6.038092,6.710378,5.372133,4.182096,5.120785,3.254229,0.174595,0.125718,64,54,72
85007771762,474.851700,521.747000,457.194000,5.036291,6.136329,3.928531,2.895167,4.125007,1.706715,0.169521,0.127489,41,40,47
85005022718,536.130100,461.157900,475.631600,3.880661,4.937786,2.849536,2.929089,3.951445,1.922385,0.180924,0.132273,70,57,77
85008504534,486.448600,455.111900,531.711500,3.099664,4.270665,1.931422,2.585650,3.567194,1.596785,0.146035,0.106570,39,38,42
85007010529,455.128500,543.118300,515.291300,4.963810,5.735307,4.175640,3.135928,4.214178,2.057483,0.150946,0.117037,49,42,53
85004642131,506.908100,501.295000,511.182200,4.709415,5.605252,3.823752,2.996920,3.927514,2.060505,0.185555,0.136115,81,70,84
85001687303,485.147500,544.435400,534.205300,5.333412,6.047096,4.636525,3.992769,4.872509,3.096057,0.248006,0.177555,198,149,249
85008074261,513.756600,538.600700,530.298300,3.960783,4.876149,3.042929,2.807503,4.085513,1.518427,0.143965,0.102866,38,28,45
85000812229,486.028000,468.034700,504.387300,4.261608,5.057696,3.448627,3.254884,4.155158,2.331740,0.289140,0.202146,310,222,530
85000305659,495.019600,520.234300,452.354900,7.015254,7.457423,6.584215,5.156621,5.794274,4.517535,0.468246,0.342948,1327,1078,1375
85006587081,539.838700,458.344400,485.782600,3.067403,4.101763,2.043624,1.943733,2.958943,0.934262,0.154991,0.126438,52,46,57
85005613541,465.045300,501.739800,477.560800,3.161126,4.197338,2.107612,3.521720,4.862420,2.155117,0.151370,0.096986,44,24,68
85003590272,473.461500,518.765700,482.932300,7.778757,8.525529,7.041895,5.173754,5.916062,4.428976,0.195821,0.153767,104,89,111
85008350598,483.886800,504.519700,506.753300,8.121992,9.389531,6.832559,7.265818,8.467832,6.056334,0.143501,0.111885,41,36,43
85007769427,464.484900,472.498300,529.227100,4.313753,5.396031,3.238837,1.935509,2.962729,0.977241,0.150438,0.117574,45,40,47
85003594594,514.264500,537.712800,532.743500,5.260388,6.040338,4.470033,3.928563,4.812980,3.044566,0.199272,0.144062,101,78,111
85003987562,492.600600,457.796800,528.792000,11.539358,12.821195,10.248848,8.688899,9.749823,7.647864,0.196124,0.143940,88,78,99
85006695222,518.003300,514.025800,503.812400,4.744578,5.692469,3.811516,3.274951,4.422330,2.116004,0.156496,0.123691,52,47,56
85006203899,531.219200,513.067900,531.406400,6.426725,7.719570,5.151472,4.929876,6.056837,3.773836,0.153839,0.110574,45,33,61
85004742905,549.904700,455.113400,501.833000,8.708813,11.181845,6.299359,6.431865,9.563123,3.635002,0.149035,0.111320,42,33,82
85005778191,542.220300,549.872400,529.605800,4.839478,5.749580,3.911902,2.564545,3.512431,1.594368,0.164766,0.122128,54,49,66
85000115696,452.967000,534.525100,459.137600,7.045483,7.458169,6.639001,4.902634,5.538474,4.376227,0.591682,0.440691,2680,2279,3257
85003920094,542.645100,542.407400,535.183800,3.424973,4.361709,2.461615,2.063879,3.196755,1.141895,0.188442,0.137760,82,69,101
85001567286,473.099200,515.540600,490.147500,5.706303,6.379392,5.048574,3.589220,4.463641,2.720018,0.273000,0.207471,260,235,269
85002736490,460.234700,493.670800,529.428700,5.633942,6.361313,4.922762,3.704062,4.635220,2.750686,0.229624,0.169870,143,128,149
85006477305,504.870900,524.266000,467.694600,5.355451,6.310662,4.373928,4.086930,5.023838,3.125734,0.170517,0.120576,54,45,58
85007633849,482.274900,532.959400,487.373500,4.758603,5.789955,3.710822,3.539440,4.921705,2.129329,0.155792,0.110320,40,35,48
85003535402,450.719100,535.355900,543.951400,8.414721,9.403346,7.439367,6.358662,7.013167,5.687786,0.200046,0.148096,100,83,113
85005775466,487.637900,466.060200,452.511300,7.647685,8.950442,6.342795,5.699242,6.660220,4.720075,0.176203,0.125277,59,53,66
85005690003,473.442800,493.236600,457.021600,11.660076,13.349322,9.930059,8.580302,9.438335,7.717007,0.168030,0.126199,61,56,67
85006475218,483.746300,498.038300,480.496900,8.381223,10.304295,6.452209,4.541863,5.472252,3.634544,0.162281,0.129094,54,50,58
85001734498,453.638700,460.591200,486.160900,4.907047,5.652456,4.159722,3.998827,4.854295,3.145623,0.249787,0.179529,210,154,242
85006284435,466.904800,522.359800,459.709900,4.537108,5.705884,3.387194,2.533929,3.877492,1.262807,0.154958,0.124931,47,41,60
85008052742,467.588600,512.794500,519.816000,9.446841,10.970575,7.919470,4.258766,7.514125,3.134750,0.117022,0.080996,18,14,45
85001440246,529.463400,541.493300,521.404800,3.150328,4.074515,2.232831,2.399899,3.377777,1.402729,0.272639,0.191640,262,186,294
85004737184,458.853200,481.975100,530.812700,6.824443,7.711512,5.932325,3.960317,4.865035,3.036502,0.185020,0.152875,78,67,82
85008350657,490.370400,515.099600,496.551000,1.025028,2.113585,1.025028,0.576961,1.864460,0.490423,0.078947,0.066011,5,4,43
85008504270,490.265700,529.205300,481.940600,1.265994,2.406151,0.651336,0.827538,1.948663,0.113075,0.135180,0.106856,35,29,42
85002279397,510.639100,509.703000,450.343300,4.324777,5.149607,3.477113,2.818276,3.731534,1.878248,0.238860,0.178131,176,147,181
85006200819,491.224400,466.867200,497.042000,7.416410,8.416976,6.396783,5.874720,6.945101,4.819080,0.178355,0.122196,53,48,61
85000755561,534.807300,511.067100,462.687100,7.857761,8.264404,7.453592,5.593289,6.243890,4.953913,0.340301,0.254374,514,438,570
85000248919,540.921400,539.317900,533.880700,8.578429,8.892115,8.269891,5.933137,6.497029,5.378709,0.496669,0.374520,1589,1392,1660
85002106388,484.364700,480.577100,473.936800,7.750832,8.438871,7.075822,5.988560,6.722031,5.270701,0.240284,0.167944,171,125,197
85008074266,523.838700,539.345000,543.963600,1.118176,2.201979,0.451403,0.640073,1.817248,0.090472,0.147177,0.113979,41,38,45
85002268631,451.865500,473.417900,511.082400,8.686989,9.418812,7.933967,6.045753,6.786940,5.285136,0.238735,0.179428,173,151,182
85008350642,497.483600,497.744100,536.039900,2.954475,3.999735,1.910566,1.340730,2.521713,0.375747,0.143685,0.103452,35,27,43
85003915621,536.927900,516.106600,460.683600,3.142774,4.081381,2.198084,2.009320,3.054604,1.161218,0.174004,0.124968,73,51,101
85003951839,456.890300,518.665200,457.914700,8.158433,9.210590,7.119852,5.708854,6.481572,4.948035,0.188961,0.148216,90,77,100
85002955873,530.581400,540.393400,471.529800,7.760433,8.614469,6.912161,5.309168,6.083054,4.552294,0.206407,0.161542,123,111,137
85001182425,454.247100,470.470400,525.454200,11.480843,12.158601,10.799634,8.817076,9.496344,8.146375,0.288882,0.217248,320,268,361
85006102349,534.767500,512.462100,457.489100,2.362656,3.393469,1.351450,1.281749,2.325986,0.900378,0.167279,0.115180,58,42,62
85007027526,516.421900,539.895700,541.052500,7.309274,8.352593,6.253366,5.174142,6.253809,4.095952,0.154870,0.118422,47,41,53
85001905910,460.290100,527.876600,486.478900,14.158260,15.356510,12.928225,11.439270,12.758985,10.081899,0.247156,0.182913,199,163,219
85000460232,474.562700,508.724100,481.695700,6.550566,7.087081,6.001690,4.086138,4.862080,3.329717,0.395530,0.302952,802,737,932
85007373606,493.387200,521.360800,505.665600,4.943970,5.776697,4.101205,3.642613,4.737352,2.539339,0.150146,0.111251,46,37,50
85008679862,473.858300,489.178800,465.308300,10.667110,12.444797,8.935525,9.569731,11.147652,8.037257,0.139940,0.104284,37,26,41
85007127589,493.968400,516.078400,497.944600,6.503120,7.383000,5.618143,4.286837,5.371894,3.207353,0.151056,0.115866,45,39,52
85008055356,490.132900,521.838200,452.370400,8.736322,11.235098,6.278002,6.925035,8.158820,5.691700,0.145305,0.112675,41,34,45
85000191735,464.219200,505.444900,513.661300,11.073184,11.383886,10.757648,7.539986,7.918206,7.151014,0.542758,0.413351,2043,1881,2099
85002576173,510.674800,548.813400,528.669000,8.567903,9.360148,7.791373,5.542044,6.298711,4.774530,0.228066,0.171776,150,137,159
85000013803,491.774800,490.552300,517.051300,4.923104,5.522501,4.648408,3.352428,4.122672,3.139306,1.020959,0.751316,13779,11291,15225
85007023601,461.771900,480.545500,455.015700,8.573613,10.921032,6.204464,5.667019,6.832589,4.525800,0.159432,0.123615,51,43,53
85005468221,493.214100,503.804800,514.992800,8.174137,9.460618,6.907530,5.515218,6.346215,4.662698,0.180635,0.130629,66,60,70
85000349441,533.269900,524.934700,473.805100,7.063443,7.516987,6.614073,5.269743,5.882868,4.638579,0.439312,0.320879,1098,880,1212
85002751733,470.169300,506.097000,502.438500,6.860369,7.513236,6.221616,4.848851,5.602440,4.089346,0.211224,0.153691,121,98,148
85006200798,484.123500,480.477300,474.741000,9.306533,10.310926,8.295513,5.583267,6.508397,4.677625,0.174433,0.122302,56,50,61
85000740021,471.608300,537.463900,466.128300,8.459503,8.852940,8.061671,6.068024,6.703182,5.438876,0.346776,0.258577,539,458,582
85002955470,477.082600,535.337000,507.563700,2.753893,3.706176,1.837306,1.848075,2.893855,1.134371,0.205431,0.160965,124,107,137
85004844727,471.389500,536.485200,524.844800,7.142727,8.221728,6.082864,4.712118,5.495361,3.918560,0.176998,0.129856,73,59,80
85003105147,511.717900,464.395600,503.477300,8.315652,9.142160,7.485097,5.672966,6.465017,4.876986,0.209326,0.153188,119,101,130
85002233072,453.018100,507.894200,526.352500,7.332677,8.089369,6.572945,5.384377,6.172494,4.593859,0.225178,0.164176,143,116,185
85001514250,536.930700,472.284000,459.248500,6.521321,7.111635,5.922283,4.759422,5.523942,3.997983,0.273933,0.202544,269,221,279
85003811835,468.706200,518.191500,481.500000,11.284345,12.504321,10.056449,6.975546,7.864827,6.095896,0.203365,0.146161,96,86,104
85003590798,494.873000,506.996200,450.351400,15.988186,18.189876,13.744742,12.307479,14.799060,9.823858,0.172617,0.130285,66,53,111
85004222715,489.625000,523.926900,512.779500,5.001356,5.898776,4.081744,3.247975,4.163215,2.307676,0.191575,0.142238,89,75,93
85005768360,517.218400,529.019700,467.269100,8.346962,9.513494,7.156611,6.038112,7.623105,4.481427,0.167290,0.116423,50,44,66
85004796552,471.226600,472.075200,475.809500,3.730509,4.684521,2.772054,2.785878,3.734663,1.851120,0.188830,0.135598,74,65,81
85006211576,461.712700,524.738200,544.064900,18.121169,20.506264,15.795789,13.342675,15.229147,11.488991,0.166070,0.121475,56,47,61
