# Id,x_center,y_center,z_center,c,f(c),r_vir,n_vir,n_tot
214,-0.001620,-0.005129,-0.002064,10.225622,0.000000,1.002439,972,973
215,0.000000,-0.000000,0.000000,10.051733,0.000000,0.998171,985,986
216,-0.000000,0.000000,0.000000,9.949704,-0.000000,0.998249,1025,1026
217,0.005113,0.000032,0.001588,10.280101,0.000000,0.999845,1117,1118
218,-0.000000,0.000000,0.000000,10.045305,0.000000,0.998222,1013,1014
219,0.000000,-0.000000,-0.000000,9.972438,0.000000,0.998312,1064,1065
220,0.001775,-0.005094,0.001607,10.216687,0.000000,0.996364,1011,1012
221,-0.005392,0.008496,0.008428,10.476952,0.000000,1.003938,1019,1020
222,0.008085,0.012828,0.004688,10.546670,0.000000,1.009839,1012,1013
223,0.000000,0.000000,0.000000,9.963183,0.000000,0.998280,1044,1045
224,0.000000,-0.000000,-0.000000,10.013706,-0.000000,0.998301,1059,1060
225,-0.000000,0.000000,-0.000000,9.971394,0.000000,0.998133,962,963
226,-0.005037,0.002536,-0.001672,10.151780,0.000000,0.998668,936,937
227,0.004307,-0.000149,0.007043,10.184636,0.000000,1.003525,973,974
228,-0.000586,0.003917,0.004116,10.265147,0.000000,1.000429,988,989
229,-0.000000,-0.000000,0.000000,9.991928,0.000000,0.998231,1016,1017
230,0.004620,-0.003299,0.001197,10.345276,-0.000000,0.999032,950,951
231,0.007424,0.011835,0.003507,10.556202,0.000000,1.007669,1019,1020
232,0.003920,-0.005696,-0.004111,10.187489,0.000000,1.005841,1034,1035
233,0.015415,-0.000273,0.002145,10.589505,0.000000,1.006694,1043,1044
234,-0.005652,-0.001032,-0.000739,10.319983,0.000000,1.000533,959,960
235,0.000000,-0.000000,0.000000,9.995419,0.000000,0.998129,961,962
236,-0.000000,0.000000,0.000000,10.007992,0.000000,0.998174,985,986
237,-0.011567,-0.008968,-0.000864,10.362638,0.000000,0.999394,992,993
238,0.000000,0.000000,-0.000000,10.019753,0.000000,0.998102,948,949
239,0.000340,0.007512,0.003007,10.250006,0.000000,0.997887,1010,1011
240,-0.002114,0.007859,-0.000621,10.225334,0.000000,0.999044,998,999
241,0.002699,0.001854,-0.009612,10.437627,0.000000,1.007419,988,989
242,0.000923,0.004964,0.003064,10.166047,0.000000,1.000261,932,933
243,0.000790,-0.005383,0.005896,10.254542,0.000000,1.005420,1034,1035
244,-0.000000,0.000000,0.000000,9.994859,0.000000,0.998248,1026,1027
245,0.004668,0.002518,0.001513,10.229963,-0.000000,0.999433,1044,1045
246,-0.000000,-0.000000,-0.000000,9.996396,0.000000,0.998229,1015,1016
247,-0.002814,-0.004512,0.002061,10.248529,-0.000000,1.001569,988,989
248,-0.000000,-0.000000,-0.000000,10.033887,-0.000000,0.998235,1020,1021
249,0.000100,0.003846,0.004331,10.259844,0.000000,0.999502,956,957
250,0.000445,-0.002761,0.005025,10.268587,0.000000,1.001054,969,970
251,-0.021070,-0.001450,0.015621,10.655779,0.000000,1.015835,944,945
252,0.003109,-0.002268,0.004205,10.131029,-0.000000,0.997507,990,991
253,0.003250,-0.004186,0.002055,10.170668,0.000000,0.997009,992,993
254,0.000347,0.001586,0.005378,10.270937,0.000000,1.000162,1015,1016
255,-0.000000,-0.000000,0.000000,10.067317,0.000000,0.998231,1019,1020
256,-0.003656,0.002371,0.003733,10.216878,0.000000,1.000649,976,977
257,-0.004449,-0.003132,0.001509,10.327132,0.000000,0.999824,1007,1008
258,0.000000,-0.000000,-0.000000,10.112299,0.000000,0.998139,970,971
259,-0.006949,0.000821,-0.009190,10.367565,0.000000,1.003807,1033,1034
260,-0.008467,-0.007646,-0.004266,10.402038,0.000000,1.003930,932,933
261,-0.004985,-0.006517,0.000730,10.180605,0.000000,0.994880,978,979
262,0.005028,0.006223,-0.001470,10.356123,0.000000,1.002766,992,993
263,0.000916,0.001639,-0.007598,10.255849,-0.000000,0.997537,1070,1071
264,-0.003698,-0.000569,-0.004515,10.317289,0.000000,1.002134,933,934
265,0.007968,0.001872,0.006169,10.246501,-0.000000,0.996264,979,980
266,0.000000,-0.000000,-0.000000,10.000532,0.000000,0.998207,1003,1004
