#OK
#SQL= select * from miniMDR1..BDMW as m where m.snapnum = 85 order by np desc
#MAXROWS UNLIMITED
#QUERYTIMEOUT 2400 sec
#DATE 2014-05-27 10:56:09.315 CEST
#QUERYTIME 465 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8511511600,85,11511600,-1,376.5934,467.7081,871.6658,892.66,-270.29,199.82,7035,6.1010002E13,6.7249998E13,0.6633,771.8,696.4,6.51,0.0207,0.3855,0.0663,0.3568,0.936,0.7444,0.7954,0.5638,-0.2225,385,478,892,991133755
8511502547,85,11502547,-1,399.9264,476.6675,850.0399,-554.82,-734.69,495.55,7029,6.0960002E13,6.4379999E13,0.6538,741.1,697.2,6.303,0.0424,0.2938,0.0509,0.3473,0.8506,0.7501,-0.6173,0.7835,0.0709,409,488,870,991113547
8511503378,85,11503378,-1,345.8626,514.5892,840.5165,-317.19,-433.99,48.6,6720,5.8280001E13,5.9929998E13,0.6379,699.6,648.2,3.998,0.0438,0.2641,0.043,0.3581,0.7139,0.5837,0.8065,-0.0967,0.5832,354,526,860,809549218
8511520076,85,11520076,-1,384.3281,476.968,874.6832,275.76,-1143.86,201.05,6433,5.5790002E13,5.9450002E13,0.6366,701.2,680.8,6.569,0.0289,0.1837,0.0318,0.3316,0.9224,0.7853,-0.2445,0.9307,0.272,393,488,895,991130312
8511505576,85,11505576,-1,380.2727,466.5023,860.9272,152.42,-353.61,1037.42,6405,5.554E13,5.7079998E13,0.6279,708.3,677.4,6.21,0.0081,0.2264,0.0284,0.3281,0.8176,0.6606,-0.279,0.9429,-0.1819,389,477,881,991137555
8511497148,85,11497148,-1,341.8924,513.0958,836.1729,-119.47,-232.02,562.61,6309,5.4709998E13,6.2129999E13,0.6459,728.5,657.6,5.908,0.0389,0.3365,0.0389,0.3423,0.57,0.5643,0.1785,0.2893,0.9405,350,525,856,809714203
8511511498,85,11511498,-1,391.8926,476.2245,871.338,-870.21,-1163.0,749.02,6297,5.4610002E13,5.8949999E13,0.6348,706.6,652.6,5.351,0.0067,0.2815,0.0248,0.3505,0.6652,0.5992,0.4194,0.0459,0.9066,401,487,892,991101608
8511509592,85,11509592,-1,351.6926,502.0795,859.5249,-311.11,-672.5,169.85,6260,5.4290001E13,5.5420001E13,0.6217,699.5,664.7,5.749,0.038,0.2091,0.0117,0.3317,0.8008,0.5421,-0.0771,0.8177,-0.5705,360,514,880,809506312
8511525891,85,11525891,-1,360.8285,426.9661,879.3062,573.53,229.64,-289.14,6170,5.3509999E13,5.4169998E13,0.6171,704.0,663.8,5.829,0.0427,0.2131,0.0371,0.3289,0.5798,0.5722,0.9542,-0.0179,-0.2987,369,437,900,994927664
8511538004,85,11538004,-1,333.2316,462.5322,903.2933,-198.82,250.15,-177.3,6144,5.328E13,5.506E13,0.6204,705.3,650.5,5.26,0.0271,0.247,0.0302,0.335,0.5235,0.4548,0.9387,-0.15,0.3103,341,473,924,994128272
8511527611,85,11527611,-1,378.854,496.257,887.6427,-7.23,-226.93,435.18,5868,5.0889998E13,7.6669998E13,0.6927,747.8,590.5,4.587,0.0989,0.7122,0.0757,0.3808,0.6864,0.5846,-0.2864,0.8491,0.4439,387,508,908,994045993
8511511099,85,11511099,-1,390.1116,465.4476,868.0282,-1157.41,158.71,802.29,5743,4.9799999E13,5.6170002E13,0.6246,670.5,601.8,3.752,0.0321,0.3846,0.1185,0.356,0.8548,0.5397,0.4344,0.5802,0.6889,399,476,888,991135679
8511609937,85,11609937,-1,400.0422,474.717,851.8415,-816.01,-173.44,391.12,5743,4.9799999E13,5.0640001E13,0.6036,675.1,653.6,6.171,0.0432,0.1881,0.019,0.3209,0.8445,0.6714,-0.171,0.9525,-0.2518,409,486,872,991114447
8511630324,85,11630324,-1,404.3926,452.359,879.1488,-614.92,98.05,-267.19,5599,4.8559999E13,5.016E13,0.6015,691.1,634.3,5.476,0.0516,0.2982,0.025,0.324,0.9266,0.8105,0.7046,0.7087,-0.0355,414,463,900,993950151
8511506113,85,11506113,-1,383.115,486.5197,852.6617,-12.89,-685.75,500.06,5369,4.656E13,5.016E13,0.6015,655.3,579.8,2.697,0.088,0.3596,0.031,0.3524,0.6019,0.4853,0.9837,-0.1752,-0.0399,392,498,873,991123643
8511506766,85,11506766,-1,373.1017,515.5486,846.5472,-163.23,-568.75,-33.12,5279,4.5780002E13,4.6490001E13,0.5865,670.6,650.2,7.024,0.0176,0.1918,0.0213,0.3052,0.745,0.5705,0.0095,0.6153,0.7883,382,527,866,809531835
8511538964,85,11538964,-1,390.9163,420.9456,915.7029,-111.14,30.44,20.54,5273,4.5730002E13,4.769E13,0.5915,688.0,671.6,8.508,0.0127,0.1928,0.0214,0.2943,0.7185,0.5771,0.8389,-0.169,0.5175,400,431,937,993147390
