# Id,x_center,y_center,z_center,c,f(c),r_vir,n_vir,n_tot
85009070622,340.499800,504.704800,852.942600,3.984369,-0.000000,0.108580,33,39
85009070625,340.495100,508.743900,858.109500,2.984566,0.000000,0.098722,25,39
85009070628,348.501600,516.689500,855.238500,8.298955,0.000000,0.106459,30,39
85009070630,352.739700,517.074200,860.198800,9.581622,0.000000,0.093439,22,39
85009070641,363.752300,512.576500,884.366600,4.675169,-0.000000,0.114077,38,39
85009070648,369.734500,508.378100,842.993000,10.407172,-0.000000,0.108043,31,39
85009070649,341.896000,512.467000,834.333400,11.422508,0.000000,0.072262,8,39
85009070651,343.504000,518.365900,838.478400,7.297122,0.000000,0.111449,36,39
85009070655,338.733100,507.358000,830.382500,7.593417,-0.000000,0.104423,32,39
85009070665,334.957800,514.477600,893.040000,12.762756,0.000000,0.106512,32,39
85009070682,357.129800,501.296600,863.028900,13.103926,0.000000,0.107526,33,39
85009070683,373.600000,503.177300,869.719100,6.840356,0.000000,0.103087,30,39
85009070684,344.325300,503.732700,827.296000,7.946280,0.000000,0.119787,37,39
85009070685,343.002000,498.355700,839.024900,10.257770,0.000000,0.100366,29,39
85009070686,370.817100,501.758900,849.793900,10.711082,0.000000,0.100952,28,39
85009070698,366.247900,498.469400,907.352400,2.328737,0.000000,0.093865,22,39
85009070699,338.890400,500.467400,884.171300,4.462881,0.000000,0.113010,33,39
85009070700,369.790900,500.332700,907.858600,14.558441,0.000000,0.072296,11,39
85009070701,371.394700,500.574200,905.493200,40.752344,-0.000000,0.110091,32,39
85009070791,374.004400,506.705000,906.036700,6.237728,0.000000,0.109724,35,39
85009070793,341.963700,508.269000,905.831800,7.454719,0.000000,0.111274,32,39
85009070992,419.005700,503.951800,907.974200,2.328737,0.000000,0.083155,15,39
85009071007,414.522800,502.406600,907.585100,15.183896,0.000000,0.103150,33,39
85009071182,392.113700,503.484800,877.513700,12.566118,0.000000,0.096823,33,39
85009071185,382.104900,501.983000,824.642600,11.090998,0.000000,0.106546,32,39
85009071186,409.680300,494.318300,884.944600,16.174209,0.000000,0.113604,32,39
85009071187,397.175900,495.267400,874.285900,9.590900,-0.000000,0.112929,32,39
85009071188,384.501800,513.532300,840.346200,8.247064,0.000000,0.386911,38,39
85009071191,401.479300,514.485700,846.540500,16.965520,0.000000,0.118185,36,39
85009071195,387.089600,513.305600,857.797400,6.096610,0.000000,0.081636,15,39
85009071201,405.251900,510.752900,877.236600,4.676017,0.000000,0.100469,26,39
85009071208,415.598500,506.687300,872.196600,4.583632,0.000000,0.070791,7,39
85009071212,402.108600,505.292200,834.889500,8.346845,0.000000,0.096170,31,39
85009071213,378.348800,516.036900,837.177400,6.143927,0.000000,0.096195,20,39
85009071223,415.684500,516.973900,874.300400,2.328737,0.000000,0.081634,18,39
85009071249,423.740000,514.952100,867.097300,9.321556,0.000000,0.106412,32,39
85009204281,414.426900,493.511400,844.944300,12.675832,0.000000,0.106100,32,38
85009218342,396.166300,480.578700,831.796100,12.695799,0.000000,0.091483,23,38
85009218343,385.942400,432.350800,830.240200,13.934889,0.000000,0.104414,32,38
85009218344,393.816900,481.038900,829.054700,2.952523,-0.000000,0.102680,29,38
85009218345,376.033300,459.482500,843.117100,4.960550,0.000000,0.092034,24,38
85009218346,392.843500,465.669800,842.933500,5.845947,0.000000,0.097535,26,38
85009218347,377.926000,455.344400,844.218100,6.889462,-0.000000,0.110092,33,38
85009218348,391.937800,458.125900,853.514200,7.881977,0.000000,0.095399,30,38
85009218350,392.143600,483.819300,846.645800,14.819819,0.000000,0.110266,31,38
85009218351,400.886400,453.516600,848.969800,10.009878,0.000000,0.109943,37,38
85009218353,410.806400,449.868200,832.418700,3.528228,0.000000,0.104679,33,38
85009218354,408.362500,464.528000,843.172900,8.897454,0.000000,0.103990,34,38
85009218355,414.012400,435.288300,839.849500,12.075894,0.000000,0.101411,24,38
85009218360,412.032400,474.047100,844.150800,6.500794,0.000000,0.099463,25,38
85009218428,424.127000,436.642600,828.927200,4.652584,0.000000,0.102645,30,38
85009218445,423.755100,453.690900,832.199900,5.297181,0.000000,0.096429,27,38
85009218477,428.040600,452.263300,846.339600,2.328737,0.000000,0.067937,8,38
85009218479,428.830100,442.870800,844.575300,4.670993,0.000000,0.093903,24,38
85009219823,376.644700,467.363700,871.021700,10.991399,0.000000,0.101140,29,38
85009219824,380.088000,493.179400,888.906800,15.910552,0.000000,0.048876,3,38
85009220154,373.343300,473.958900,824.796600,5.035098,-0.000000,0.096768,26,38
85009220155,336.947500,469.139100,822.435900,6.216216,0.000000,0.100744,29,38
85009220156,337.614100,464.655500,820.351600,9.591196,0.000000,0.113540,33,38
85009220157,357.016700,468.524600,824.484600,6.589616,-0.000000,0.091831,19,38
85009220158,360.559300,444.352300,823.943200,2.328737,0.000000,0.092951,22,38
85009220159,372.667200,471.836500,830.300200,3.712347,-0.000000,0.089145,19,38
85009220160,369.316000,437.104200,823.802000,95.605311,0.000000,0.122820,36,38
85009220161,352.568500,484.438800,828.224400,2.404826,-0.000000,0.106826,33,38
85009220162,353.148000,486.224000,823.824600,3.368833,0.000000,0.096426,23,38
85009220163,364.315200,471.883600,831.406700,7.370321,0.000000,0.118275,36,38
85009220164,361.941400,457.563000,828.731100,4.382617,0.000000,0.097543,26,38
85009220165,355.371900,432.370100,833.089700,2.911399,0.000000,0.104244,29,38
85009220166,335.684800,457.885200,835.773700,8.295301,-0.000000,0.092620,22,38
85009220167,355.016800,479.290000,841.656700,5.438346,0.000000,0.056579,5,38
85009220168,367.390300,435.414500,844.009900,4.470149,0.000000,0.087774,20,38
85009220169,366.297700,430.583600,845.467700,2.794598,0.000000,0.096944,24,38
85009220171,370.654800,479.564300,846.397900,3.112663,0.000000,0.094980,22,38
