# center_difference,dens_conc,mass_conc,vlct_conc
9.525193912933657137e-01,4.858023892280232126e+00,4.603159999999999918e+00,4.779205000000000148e+00
6.426185021827575394e-02,6.339397932605512764e+00,5.181691000000000713e+00,5.700528000000000262e+00
3.438525959184929315e-01,3.063859603180993041e+00,2.882516999999999996e+00,2.971385999999999861e+00
1.668687603593432822e-01,4.843748096232015854e+00,4.426561000000000412e+00,4.750294999999999490e+00
4.530416236175935363e-01,6.801861142036547569e+00,5.869454000000000171e+00,5.800629999999999953e+00
7.328722062380767233e-02,4.599571090150461394e+00,5.030613999999999919e+00,4.505917000000000172e+00
9.540666480740905842e-02,5.058942368982727977e+00,5.048350000000000115e+00,4.766650000000000276e+00
9.440387902657011443e-01,5.344067126038547499e+00,5.110047999999999924e+00,5.299621000000000137e+00
8.460900414061994779e-02,5.089946519725011775e+00,4.607838000000000100e+00,5.598079000000000249e+00
9.935905488092174054e-02,5.615952958722311372e+00,5.176599999999999646e+00,4.413842999999999961e+00
7.976998796362504418e-01,3.772890255643125190e+00,4.833586000000000382e+00,3.292362000000000233e+00
1.386495667465629800e-01,4.335209505770367677e+00,4.099057000000000173e+00,3.816351999999999745e+00
5.467115199110490070e-02,6.852318351919107542e+00,5.583234000000000030e+00,6.647317999999999394e+00
9.987744611473144130e-02,6.142055957564569901e+00,5.320619000000000653e+00,5.189881999999999884e+00
7.196449315681022751e-01,6.607032626378742002e+00,4.979441999999999702e+00,6.432017000000000095e+00
8.056074006228823581e-02,6.323430525275782976e+00,4.930202999999999669e+00,5.947695999999999650e+00
2.980743400839608870e-01,5.876849472566240351e+00,5.628409999999999691e+00,5.425362000000000684e+00
1.074165193213337394e-01,6.484893635155482450e+00,5.491089999999999804e+00,5.565621000000000151e+00
1.390558336497674519e-01,3.039583963850822190e+00,3.913951999999999654e+00,2.538251999999999953e+00
1.414241085090185424e-01,2.920817988327868875e+00,3.191943000000000197e+00,2.514588000000000267e+00
2.803468131778894534e-01,4.718700546989338385e+00,3.889495999999999842e+00,5.628972000000000087e+00
1.237720992030916650e-01,2.257465108654263197e+00,2.958209999999999784e+00,2.365922999999999998e+00
3.423805954241442850e-01,8.055813188909601408e+00,6.229313999999999574e+00,7.955893999999999799e+00
3.317818614947427580e-01,4.989307600957880062e+00,4.929035999999999973e+00,4.222173000000000620e+00
2.886827039923738347e-01,6.153273941572948047e+00,4.936094000000000648e+00,6.145367000000000246e+00
1.443247316891792809e-01,2.962500381767433577e+00,2.669135999999999953e+00,4.332012000000000640e+00
8.913542762571277644e-02,6.130658678314995669e+00,5.606611000000000011e+00,6.040289999999999715e+00
2.570338534521991458e-01,4.848982930034144267e+00,4.022736000000000089e+00,4.025445999999999636e+00
7.787438532041275341e-01,5.839319328542168286e+00,4.944205999999999435e+00,5.118311000000000277e+00
1.316551661041452104e-01,4.825655833003006379e+00,3.958435999999999844e+00,5.553157999999999817e+00
5.116848003956984137e-01,7.888985075105403588e+00,5.533462000000000103e+00,7.738308999999999216e+00
1.491344739167022038e-01,6.055196229206394776e+00,5.002383000000000024e+00,5.430279000000000522e+00
1.498622355542518492e-01,4.704488632036069262e+00,3.517801999999999651e+00,5.030980999999999703e+00
1.452815719171381970e+00,5.538680040682110395e+00,4.941511000000000209e+00,5.722808000000000561e+00
5.754742493858910207e-02,6.227017511278679862e+00,4.915278999999999954e+00,5.739179000000000030e+00
9.329621326801892933e-02,7.202888181381554844e+00,5.977794000000000274e+00,6.971805000000000696e+00
1.416130895638674503e-01,2.835121022429530235e+00,3.414931999999999856e+00,2.406918000000000113e+00
1.180724400419194131e-01,3.951287057999633312e+00,3.123362999999999889e+00,5.689733000000000374e+00
5.118284016254793789e-01,3.055040798637056465e+00,3.093601000000000045e+00,2.386559999999999793e+00
1.985386176460059771e+00,8.084798716681632413e+00,5.907623000000000069e+00,7.109215999999999980e+00
2.428677309487723701e-01,4.545845057967742520e+00,4.472736000000000267e+00,3.725639000000000145e+00
1.199871018010411350e-01,4.134142268579301671e+00,3.006159999999999943e+00,3.871158999999999573e+00
3.551772642333977381e-01,3.626712877089372622e+00,4.081318000000000445e+00,3.507533000000000012e+00
1.458577331387001796e-01,3.268551988299445377e+00,3.302545999999999982e+00,3.047642999999999880e+00
3.713543191673745469e-01,2.779964589864337920e+00,3.030097999999999736e+00,3.097767999999999855e+00
3.988775592005584097e-02,4.655924878684415624e+00,4.113250999999999991e+00,4.251139000000000223e+00
1.253799354303317126e-01,3.970330122571259501e+00,3.172908000000000062e+00,4.516605000000000203e+00
5.283890241181895403e-02,3.246568629162977615e+00,2.765448000000000128e+00,2.776137999999999995e+00
8.796469719185194547e-02,3.232832853255223959e+00,3.001739000000000157e+00,3.917369000000000323e+00
1.125809300772409316e-01,7.380363628484683858e+00,6.262648999999999688e+00,6.460134000000000043e+00
5.252448490062645581e-01,6.838941524689532869e+00,5.767177999999999471e+00,6.176956999999999809e+00
5.715946727069171757e-02,5.433141763373225963e+00,4.985491999999999813e+00,5.384807000000000343e+00
7.218987992022443123e-01,6.811958457520923105e+00,5.142431000000000196e+00,6.116819000000000450e+00
6.841500378816740835e-02,5.250735567884745159e+00,4.512793000000000276e+00,4.783859999999999779e+00
2.659525840747571923e-01,6.655509150202425950e+00,5.145305999999999713e+00,5.994209999999999816e+00
3.466719438958162369e-01,4.226392747639551750e+00,4.088856999999999964e+00,4.529344999999999288e+00
7.404726029882197080e-02,4.471460866946923574e+00,4.245046000000000319e+00,4.965289000000000286e+00
1.392624076781986409e-01,4.526636146738024280e+00,3.809226000000000223e+00,4.677827999999999875e+00
3.696992286667081240e-01,2.611250477290954830e+00,3.111775000000000180e+00,2.912628999999999913e+00
8.041709887609774232e-02,3.897970560783837524e+00,4.085626999999999676e+00,3.731338999999999739e+00
1.592723119687456113e-01,2.554356185345421970e+00,3.024764999999999926e+00,3.054507000000000083e+00
3.726755193282478562e-02,7.086337987168600527e+00,6.269987000000000421e+00,7.026947999999999972e+00
6.463685961964040771e-01,5.297662341386048190e+00,4.850287999999999933e+00,4.662562999999999569e+00
8.718044650199900658e-02,4.722777801812834575e+00,4.722620000000000040e+00,4.446778000000000119e+00
1.446445878044684552e-01,3.193051056806819776e+00,2.483658000000000143e+00,4.819937000000000360e+00
1.304399153574406500e-01,4.573833837587050866e+00,3.985580999999999818e+00,4.907116999999999507e+00
6.957059492907424758e-02,7.793403296014308701e+00,5.928115000000000023e+00,8.287634999999999863e+00
4.333417098285370361e-01,1.470280617814974544e+00,1.482504999999999962e+00,2.690431000000000239e+00
