halo_id,x_potential,y_potential,z_potential,x_mass,y_mass,z_mass,eig_1,eig_2,eig_3
85006952164,383.2506,472.2024,863.5118,383.26137037,472.219224074,863.509046296,0.397692988577,0.299726505116,0.220134666307
85006952165,385.0455,489.0307,861.2078,384.99915,489.034909259,861.225588889,0.311617611996,0.457491441287,0.569773706717
85006952166,385.0604,466.5127,860.5771,385.065546296,466.483196296,860.566753704,0.110070842444,0.363217540332,0.322942417224
85006952167,417.6312,456.8561,888.5917,417.616194444,456.848931481,888.605566667,0.260386329811,0.181295924605,0.221586945583
85006952193,423.7795,439.841,869.2903,423.774005556,439.88122963,869.2608,0.903528325973,2.24647951668,1.76649005735
85006952194,425.9182,436.2485,868.5813,425.935975926,436.28257037,868.556514815,0.210938039128,0.443117980541,0.387572400332
85006952202,424.7934,440.5178,878.1273,424.766961111,440.535694444,878.113403704,0.222870995138,0.365982949506,0.420604535355
85006952207,428.1782,428.1892,891.6537,428.198846296,428.189805556,891.661714815,0.102082444875,0.380290646765,0.37029378836
85006952231,419.1582,421.7558,882.6802,419.142894444,421.771201852,882.672111111,0.128554501369,0.28766199811,0.244650100521
85006952232,419.3762,480.3154,864.6964,419.345242593,480.326187037,864.68032963,0.243192211977,0.298760169295,0.400625698728
85006952233,419.254,425.5881,878.0853,419.255968519,425.585603704,878.066103704,0.374157911582,0.198598907789,0.276684960628
85006952244,410.7678,440.9995,914.6161,410.784361111,441.003042593,914.615146296,0.272036360127,0.208562560014,0.237089699859
85006953737,338.8628,505.0567,858.8286,338.935487037,505.067937037,858.782294444,0.292589249723,0.829463099407,0.92909285087
85006953738,345.6343,507.6977,862.3591,345.622225926,507.694735185,862.360014815,0.178145250529,0.3995550236,0.346524745871
85006953740,353.1693,517.1595,869.6915,353.189048148,517.193422222,869.695855556,0.462278455769,0.315004272756,0.252411911475
85006953741,340.254,507.2792,867.9339,340.248159259,507.285385185,867.956409259,0.203024925209,0.449509707998,0.393303666793
85006953742,352.2991,516.7886,870.1001,352.27287037,516.764692593,870.080583333,0.254225078867,0.446212968596,0.375901932537
85006953745,349.3038,507.0888,871.1313,349.294685185,507.031118519,871.096337037,0.155120155761,0.486237664834,0.398072779405
85006953753,368.8321,513.1736,832.9864,368.835472222,513.192277778,832.9927,0.165917648919,0.282270946968,0.365116144114
85006953767,362.4269,502.6814,876.9779,362.421598148,502.683246296,876.972114815,0.136505509783,0.21844082709,0.192512063127
85006953775,369.9921,501.5074,907.1204,370.039281481,501.524562963,907.114962963,0.581686351091,1.99791205194,2.09138455697
85006954090,387.5715,500.7961,841.5745,387.575492593,500.788909259,841.579635185,0.260471469868,0.223708635768,0.133947734364
85006954091,382.4,498.1254,889.1658,382.395759259,498.131842593,889.156553704,0.249282679755,0.186439154677,0.213882005568
85006954097,385.5817,515.4799,856.8683,385.573116667,515.478351852,856.857818519,0.34789148002,0.22679598983,0.26650579015
85006954098,388.1978,507.1277,875.8985,388.202494444,507.131207407,875.885316667,0.141788221216,0.276458974885,0.264986763898
85006954110,408.7351,510.9634,890.8654,408.724690741,510.965701852,890.874133333,0.142050576187,0.463411864339,0.417453039474
85006954112,386.3466,510.4959,837.6959,386.355527778,510.499027778,837.682801852,0.168777122881,0.120559414817,0.132966202302
85006954125,417.9318,512.4402,848.8901,417.935212963,512.430433333,848.887674074,0.15720557506,0.361589730993,0.389651753947
85006954144,428.385,514.1241,865.851,428.373551852,514.151127778,865.853162963,0.209318108027,0.374314038971,0.340062753002
85007045613,374.9186,427.5077,858.9109,374.882477358,427.524643396,858.911984906,0.18769814021,0.509617612843,0.460040726947
85007045614,391.0486,481.5554,854.6235,391.033207547,481.594062264,854.589156604,0.678263194019,1.60483906798,1.906079398
85007045615,391.9886,480.4243,856.0088,391.995956604,480.450401887,856.005958491,0.313967333251,0.252022771769,0.26287995498
85007055222,391.8484,480.9447,826.9092,391.855132075,480.934837736,826.907062264,0.280804266136,0.241417388392,0.187526865472
85007055223,392.6922,456.2517,831.8605,392.676315094,456.270841509,831.873607547,0.307011319884,0.205459647366,0.187407452749
85007055224,393.197,453.7302,839.5665,393.210198113,453.73350566,839.552971698,0.0975174960292,0.15644421179,0.148213032181
85007055225,378.4855,473.9605,841.7189,378.479283019,473.960356604,841.733556604,0.156995471347,0.294655074507,0.331745714146
85007055226,397.6355,426.3076,839.6907,397.637790566,426.309798113,839.658367925,0.610092486613,0.404964338834,0.438709194553
85007055227,400.8847,435.8884,851.0956,400.89964717,435.881883019,851.105613208,0.167215470039,0.29407993783,0.343285172132
85007055228,414.5308,452.5076,835.7891,414.531411321,452.521754717,835.775728302,0.153178186024,0.404366742695,0.417798011281
85007055229,414.9868,437.2182,839.6479,414.993460377,437.210656604,839.648475472,0.121422074468,0.233452151223,0.214528634309
85007055232,376.9913,477.2841,854.1419,376.990288679,477.269692453,854.148841509,0.155928643869,0.274662597737,0.265295538394
85007055233,404.1728,474.5828,851.9021,404.184815094,474.559267925,851.915256604,0.254205220894,0.313774700825,0.401631458282
85007055234,400.8673,493.3561,831.7988,400.888109434,493.354201887,831.784128302,0.172028582498,0.216221617933,0.239303579569
85007055235,415.4127,460.0179,852.669,415.403767925,460.001066038,852.651281132,0.325690655872,0.630473754708,0.52684712942
85007055236,398.5999,424.503,854.4384,398.589850943,424.510813208,854.442243396,0.159000902738,0.295213848166,0.324952769096
85007055237,393.3592,427.6714,849.9427,393.334269811,427.71994717,849.908528302,0.15935833165,0.559655484613,0.499729983737
85007055238,417.8087,483.1698,823.7146,417.799713208,483.173364151,823.743511321,0.330121071,0.686767346751,0.542596202249
85007055313,425.9486,423.4333,838.6233,425.974664151,423.431786792,838.607067925,0.196450705867,0.344886361312,0.284611752821
85007055338,419.9179,454.3608,853.301,419.922556604,454.381292453,853.311154717,0.202325933824,0.375941552446,0.444062653729
85007056238,373.8843,470.6057,871.5179,373.876209434,470.602975472,871.512584906,0.20662235384,0.160009827405,0.135964638756
85007056467,359.9529,445.6869,821.7856,359.953424528,445.683933962,821.779473585,0.0944189238489,0.337911669184,0.328555186967
85007056468,361.2408,458.6514,835.4673,361.249875472,458.642503774,835.474235849,0.110528609813,0.147964763457,0.13613396673
85007056469,365.581,456.2122,839.2736,365.589309434,456.227209434,839.222949057,0.205934111092,0.411083469286,0.454597179622
85007056470,365.2991,430.8615,843.4444,365.306933962,430.84969434,843.4466,0.154266356313,0.420441993761,0.471380149926
85007056471,372.3451,489.4811,834.3006,372.351486792,489.48659434,834.320022642,0.22242155341,0.443585951112,0.382458915478
85007056472,367.8683,475.095,844.5507,367.846967925,475.116562264,844.483984906,0.338495182978,1.14199757674,1.27266742028
85007056473,363.3215,475.8273,842.5169,363.309409434,475.860139623,842.497884906,0.568011014477,0.315649467495,0.437248138028
85007056474,371.1465,471.4913,844.7877,371.132215094,471.515277358,844.779330189,0.176699493282,0.411533903039,0.374394583679
85007056475,350.8308,488.5095,851.6162,350.819516981,488.523009434,851.627535849,0.319200088083,0.247415426812,0.256168045105
85007056476,361.9897,484.565,848.4426,361.956416981,484.593935849,848.461683019,0.184054068653,0.491428782393,0.502886388954
85007056477,350.0586,478.2482,847.6804,350.062277358,478.280598113,847.706041509,0.198012471036,0.42080444625,0.351617362714
85007056478,339.7706,453.9878,849.1129,339.790573585,454.002235849,849.112920755,0.167735937922,0.41313483351,0.450617428569
85007056479,365.3873,422.0707,844.1442,365.403475472,422.025703774,844.167103774,0.223869848977,0.450244583955,0.528772767068
85007056483,333.2962,468.1464,832.0008,333.339464151,468.146843396,831.978662264,0.315539863246,0.538429587907,0.606012348847
85007056484,334.5632,455.4818,844.386,334.54575283,455.481666038,844.365386792,0.149320895932,0.423022603782,0.379590680286
85007056493,368.7745,474.1114,855.8837,368.736950943,474.135645283,855.803664151,0.382454494431,1.02656505067,1.19510077489
85007056500,366.9812,446.2794,854.7664,366.964949057,446.283441509,854.743486792,0.134649134235,0.331607193146,0.361768932619
85007056501,345.1247,466.3714,852.7321,345.127979245,466.400118868,852.7168,0.407240714679,0.334117504936,0.299998500385
85007056561,364.585,444.2426,869.9556,364.578611321,444.231483019,869.959828302,0.146259529061,0.204439160192,0.217769290747
85007056562,340.1049,476.0544,874.8135,340.119384906,476.062196226,874.81940566,0.467753249347,0.316671163586,0.293566367067
85007056563,364.886,449.761,875.3442,364.775530189,449.723592453,875.339101887,0.447650320447,1.5152756158,1.63461456375
85007056564,369.9625,446.6774,876.2266,369.972630189,446.679533962,876.208858491,0.228522919707,0.206179801626,0.157109258667
85007056565,354.2022,428.5997,878.4555,354.203867925,428.609458491,878.457801887,0.165367147502,0.332724895957,0.26966083654
85007056566,336.9349,473.0762,885.5214,336.940516981,473.07459434,885.52624717,0.17323316001,0.291762193721,0.225011706268
85007056567,347.4756,474.365,883.8213,347.467926415,474.356220755,883.823435849,0.31083643272,0.241345957038,0.170319450242
85007056568,336.4188,487.197,886.2122,336.431858491,487.206028302,886.224132075,0.303945468006,0.282452685254,0.23778484674
85007056569,354.8809,474.8337,889.6873,354.879213208,474.836511321,889.657811321,0.18864697953,0.44619561813,0.392728742341
85007056570,356.7704,440.0999,890.0329,356.786573585,440.109824528,890.03620566,0.192109677375,0.219490756994,0.287302285631
85007056571,357.7444,454.5359,890.4189,357.737464151,454.542290566,890.409541509,0.172129300191,0.377842179152,0.329849300658
85007056572,353.1042,437.316,905.8622,353.090330189,437.302454717,905.840020755,0.136848396411,0.272984106357,0.290248077232
85007056573,364.2497,487.9371,898.8171,364.163050943,487.910062264,898.76299434,0.843832129568,2.61053319844,3.338715072
85007056574,355.162,492.4734,869.4647,355.123345283,492.528481132,869.434915094,0.314732612477,1.15948060979,1.32591109774
85007056575,337.4919,477.4839,876.1008,337.491362264,477.48300566,876.11680566,0.269885252073,0.462346233524,0.518143234403
85007056576,364.3213,463.7582,911.7073,364.308743396,463.732813208,911.701418868,0.20740052353,0.373700370886,0.393133685583
85007056577,349.0659,422.3616,878.6006,349.027132075,422.341733962,878.62365283,0.143259748754,0.477526403628,0.530595527618
85007056578,361.4543,424.1493,866.5439,361.446773585,424.161479245,866.553167925,0.409047780699,0.352218819047,0.207999760253
85007056579,335.8135,459.2686,891.1949,335.813211321,459.282041509,891.215971698,0.100133090652,0.329423625745,0.351622983603
85007056580,332.2922,477.4817,870.1665,332.301156604,477.488083019,870.172113208,0.189084532873,0.52377125205,0.596022195077
85007056582,349.6579,484.1834,918.8721,349.660866038,484.171511321,918.868471698,0.166527376512,0.239445949198,0.27283467429
85007056583,372.1064,460.5555,916.8348,372.097983019,460.543226415,916.828343396,0.334964601231,0.25052180315,0.208283355619
85007056584,355.3433,453.2407,916.2735,355.368926415,453.282018868,916.26019434,0.331582743683,0.580190323294,0.500834433024
85007067294,376.4102,460.2276,871.6801,376.4112,460.234098113,871.671639623,0.148205520811,0.271674576308,0.221615222881
85007067295,380.0094,457.4858,874.0132,380.020558491,457.503073585,874.015456604,0.206191722342,0.308197742549,0.379213275109
85007067296,379.7201,440.3923,880.0682,379.719160377,440.398015094,880.078716981,0.239455273189,0.317031120685,0.356803706127
85007067297,391.9188,474.9785,882.5861,391.918766038,474.981243396,882.576637736,0.136792041963,0.271502800639,0.250584897398
85007067298,384.2645,478.6929,881.7076,384.275345283,478.697856604,881.773333962,0.117660433901,0.642324171708,0.610091954391
85007067299,392.9194,464.6776,882.1904,392.928864151,464.684103774,882.188160377,0.128096493937,0.22171201235,0.183645893712
85007067300,394.3486,461.9851,887.8818,394.332615094,461.962958491,887.856462264,0.213285546102,0.302014389548,0.33253782435
85007067301,398.0076,478.3919,889.3602,398.031645283,478.36775283,889.356054717,0.299900962516,0.483183156634,0.40796482085
85007067302,388.7349,467.832,892.8745,388.748715094,467.825007547,892.870558491,0.122676179136,0.232935535018,0.282600825846
85007067303,408.2234,429.4898,902.4842,408.165096226,429.41625283,902.508873585,0.271523928654,1.24887166765,1.3110965637
85007067304,392.6298,469.7174,897.1674,392.679411321,469.698492453,897.091020755,0.485503510612,1.4150498437,1.61514000569
85007067305,391.8336,469.4365,897.8685,391.816816981,469.441915094,897.853962264,0.156504264923,0.309799787831,0.270557587245
85007067306,388.0874,477.6506,904.7878,388.082033962,477.675067925,904.770954717,0.418366428884,0.309828396446,0.27827293467
85007067307,404.6932,464.9119,876.9858,404.67124717,464.896271698,876.970084906,0.128715340202,0.237422785718,0.206646214081
85007067308,405.1767,456.6946,876.223,405.161809434,456.699741509,876.224686792,0.197150121922,0.354284005943,0.301821652135
85007067309,400.4567,485.9912,874.324,400.437075472,486.019828302,874.313022642,0.216428285765,0.419650571166,0.49975678307
85007067310,382.408,489.7195,872.053,382.416207547,489.717607547,872.063060377,0.126328905207,0.207231680451,0.170134634342
