#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85005398731,485.038300,544.892400,525.270700,4209938.599980,7035870.922679,1330924.443743,0.010037,0.011235,0.008860,0.239477,0.201728,20.098647
85003147435,497.575300,539.427400,524.868700,15998.945190,20301.916885,11572.808151,0.167271,0.177237,0.157322,0.237316,0.000000,-99.000000
85008351977,478.065800,492.358600,454.925900,653844.135948,1900621.756941,35610.219253,0.014840,0.017748,0.011982,0.445492,0.173494,11.691125
85008665014,542.637600,534.561300,456.646800,238107.989382,427788.815552,53389.037216,0.027131,0.034445,0.020021,0.213835,0.173412,6.391660
85008353767,507.741000,517.277300,460.454800,4329512.086332,5419858.836781,3251782.492812,0.008908,0.010052,0.007774,0.170019,0.000000,-99.000000
85000169560,495.631100,465.683700,450.320200,1463552.915414,1513321.649285,1413958.906090,0.048004,0.048717,0.047273,1.288033,0.639792,13.327963
85008367315,545.626600,456.360100,479.720100,372309.373514,822070.986496,18610.666431,0.025468,0.034102,0.016996,0.158572,0.000000,-99.000000
85003914874,459.505100,456.957900,531.130700,149739.257049,207974.743919,92083.862054,0.045892,0.050719,0.041081,0.308831,0.231526,5.045037
85008055766,542.003000,514.585900,470.828000,710648.369042,1329141.468509,93996.893869,0.016797,0.020482,0.013005,0.208388,0.184961,11.011630
85006691596,468.819900,450.960000,515.180400,1050771.446067,1980129.514548,130023.156516,0.015711,0.017980,0.013407,0.233769,0.193097,12.290790
85005778199,545.561500,504.602200,546.934700,845342.963326,1084941.830414,605436.689995,0.017853,0.020178,0.015594,0.243029,0.207215,11.606689
85007501752,497.624500,536.457500,482.767900,67392.722460,128506.377361,9533.859237,0.055893,0.066295,0.045475,0.215758,0.000000,-99.000000
85005697836,513.650700,450.339600,480.416200,1094685.824195,2149918.218812,154281.288113,0.017167,0.019704,0.014689,0.243148,0.203712,11.866517
85001439665,466.572500,495.524600,451.362000,496548.047509,553650.991704,440199.699307,0.042597,0.045188,0.039973,0.348997,0.000000,-99.000000
85001252712,514.205900,539.016500,516.046900,701121.768968,791620.227164,608838.302121,0.037822,0.039672,0.035967,0.379524,0.361168,9.549098
85004495211,542.080600,518.151600,512.165200,1351444.527492,1738444.488822,971093.047111,0.018001,0.019577,0.016398,0.285087,0.261679,14.537281
85003367894,546.136600,519.498700,480.027600,406163.373389,613311.825625,196403.516429,0.030675,0.034266,0.027092,0.346495,0.248140,8.089278
85004227460,462.971300,458.583100,472.180100,226400.782023,330531.918559,123204.379493,0.035142,0.039525,0.030837,0.282029,0.231272,6.581053
85008068970,510.564800,483.178100,470.373400,652522.936186,1724967.862871,58071.521591,0.018523,0.022097,0.015031,0.215127,0.180563,9.748272
85001124962,483.157500,467.879900,451.378500,468094.801973,515852.489092,419848.899449,0.046130,0.048619,0.043647,0.410326,0.386049,8.368637
85000015612,459.030100,522.569300,463.488700,458511.976601,464487.490916,452641.111878,0.139650,0.140436,0.138854,2.471870,1.208095,8.650879
85008199967,548.187200,466.685300,546.143900,211369.487190,449683.514009,22327.973498,0.033757,0.041275,0.026104,0.153070,0.000000,-99.000000
85000650134,513.277000,469.499000,455.633600,635967.280104,687665.837409,583474.088014,0.047552,0.049216,0.045854,0.596600,0.454789,9.564054
