#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85006896751,469.807200,526.280900,491.866200,11.803171,15.871720,7.774341,7.949347,10.326916,5.618080,0.144537,0.110318,36,30,54
85007373862,538.380600,451.804600,511.591200,6.376068,8.219591,4.583337,4.098276,5.220252,2.954250,0.151453,0.113974,44,38,50
85003506988,502.731800,487.114800,481.981100,7.142578,7.952517,6.352821,4.683357,5.651240,3.704739,0.196975,0.150205,109,95,114
85007516008,512.556100,469.497700,460.289900,2.268149,3.844968,1.000274,1.430932,2.692756,1.001901,0.152229,0.110811,40,35,49
85006704308,450.018200,529.463000,549.071900,2.097230,3.584753,1.388131,1.685816,3.038555,1.000131,0.112038,0.071555,17,9,56
85007129673,465.090100,507.154800,455.958900,8.126391,9.628526,6.615112,8.614615,10.003750,7.214797,0.151300,0.132211,47,44,52
85002279397,510.639100,509.703000,450.343300,4.324689,5.270494,3.403300,2.818337,3.951413,1.977453,0.238860,0.178131,176,147,181
85005938031,475.523300,451.411800,524.684400,3.849843,5.008935,2.663137,3.281114,4.684878,1.852452,0.168130,0.122272,57,47,64
85000894226,541.705100,452.651600,503.970500,6.004080,6.742526,5.252961,4.156807,5.096811,3.223682,0.327249,0.242399,450,379,481
85008521964,472.624300,476.083200,467.214200,7.715758,9.623035,5.828415,5.525841,8.081553,3.041096,0.138350,0.103019,33,28,42
85006587473,469.732200,451.821300,489.079700,6.989010,8.217951,5.764541,6.548757,7.664383,5.406800,0.159429,0.124418,55,48,57
85008199784,473.153100,512.554000,493.172800,1.726766,3.295376,1.000186,1.000122,2.529252,1.000122,0.146190,0.103982,36,30,44
85007248139,452.388500,534.619900,531.981800,2.049744,3.256631,1.096482,2.317940,3.696831,1.000196,0.144812,0.087345,40,18,51
85007501761,465.615000,522.731300,488.582100,13.920435,17.020493,10.730503,11.337953,13.716032,8.918291,0.141160,0.108138,37,33,49
85003506990,538.575700,469.112400,464.877300,6.462905,7.383799,5.563429,4.492041,5.608018,3.406093,0.197809,0.145298,98,79,114
85002880140,495.303800,468.519300,473.989900,10.278761,11.420785,9.144786,7.006465,7.990797,6.048671,0.213647,0.162309,124,110,141
85004635613,475.581800,528.034500,461.231400,8.334158,9.766867,6.895769,6.423815,7.824279,4.993948,0.183143,0.134612,81,70,84
85008199944,466.775000,460.109100,527.649500,4.787288,6.001856,3.593459,3.120233,4.343904,1.900572,0.143717,0.105878,39,32,44
85000435817,492.033300,488.596600,452.618100,9.500227,9.984144,9.006436,7.045175,7.661426,6.432254,0.416035,0.309439,936,789,982
85008052764,493.742000,519.325600,529.805700,1.806186,3.605710,1.000466,1.784200,3.232819,1.000195,0.121089,0.072833,22,11,45
85000793127,521.308500,470.889200,489.514000,10.884256,11.556767,10.222487,7.798203,8.376942,7.228297,0.341148,0.256341,512,452,543
85000660149,534.782600,516.241400,538.047200,5.904716,6.624359,5.180689,4.274531,5.177127,3.375175,0.366422,0.266918,620,505,653
85008521488,545.420900,472.055700,505.287500,7.295027,8.702863,5.918675,4.417028,5.602143,3.247162,0.144123,0.106103,37,35,42
85003920091,542.215200,539.808300,523.432700,4.414373,5.501380,3.328898,10.605539,15.607533,5.706060,0.112691,0.060895,19,6,101
85005137289,532.536700,452.959300,534.049300,3.324028,4.418208,2.198549,2.226579,3.654525,1.328397,0.169768,0.128924,69,58,75
85006912961,549.969100,505.271400,528.191000,6.507259,7.957669,5.074778,3.513153,4.768671,2.242247,0.154010,0.110823,45,37,54
85007127505,498.005400,539.839800,485.454300,3.279121,4.431874,2.103777,3.834197,5.892626,1.715400,0.138804,0.090231,35,19,52
85000053935,536.281200,456.096100,514.605000,5.719733,6.365875,5.292584,3.520909,4.445498,3.226217,0.733099,0.557715,5101,4614,6001
85004352761,507.677600,549.233600,489.352200,5.008904,5.886866,4.118709,4.419487,5.494882,3.350416,0.211248,0.137869,86,67,90
85002280482,466.069000,453.857100,476.730500,7.662064,8.273401,7.038281,4.560666,5.584180,3.560769,0.243931,0.181082,173,166,181
85007501757,459.661900,532.340800,489.307600,4.565530,5.736045,3.364840,4.208990,5.296105,3.138647,0.154203,0.113730,44,38,49
85002268630,485.357400,463.318700,452.870400,7.033611,8.142281,5.923513,8.292298,9.916962,6.630443,0.175013,0.115497,68,40,182
85001706971,491.272000,520.302800,499.567600,11.388474,12.345294,10.413617,9.256392,10.262489,8.254893,0.257379,0.187432,221,175,246
85007504100,472.113400,534.692100,464.821600,5.062681,6.268897,3.856835,3.382368,4.561270,2.192808,0.138415,0.113162,39,37,49
85006909259,490.052400,477.291100,505.926000,6.480798,7.610258,5.330762,4.221250,5.391050,3.056114,0.152099,0.113661,47,37,54
85006190534,474.327300,509.141100,506.139500,4.539224,5.768539,3.296109,3.373382,4.692356,2.036458,0.159346,0.115383,51,40,61
85007771774,483.955200,525.884200,451.776600,7.959964,9.483239,6.435508,5.316740,6.741957,3.924587,0.147216,0.105248,37,32,47
85000027599,463.444600,506.800500,483.259200,7.386954,7.803777,6.960031,4.659978,5.420140,4.359779,0.903978,0.694311,9590,8911,9697
85001008875,528.668300,456.095100,513.949200,7.593139,8.210675,6.989535,5.245838,6.120532,4.379715,0.308290,0.234050,390,334,425
85000156687,497.846000,514.311300,498.907300,8.881880,9.172193,8.592036,6.203798,6.844483,5.573912,0.516887,0.386888,1775,1543,2510
85008055805,504.192200,496.184900,484.067300,3.284761,4.684524,1.895382,2.463364,3.787444,1.136526,0.121953,0.089868,23,16,45
